Posição da bola        Input da perna  Tempo do unity  Acerto          Tempo da colisão 
(-0.174, 0.755, 0.889)  (0.000, 0.000)        2591,943           ERROU          16:29:17
(-0.174, 0.755, 0.889)  (0.239, 0.761)        2592,445           ERROU          16:29:17
(-0.174, 0.755, 0.889)  (0.197, 0.803)        2592,965           ERROU          16:29:17
(-0.174, 0.755, 0.889)  (0.173, 0.827)        2593,472           ERROU          16:29:17
(-0.174, 0.755, 0.889)  (0.151, 0.849)        2593,973           ERROU          16:29:17
(-0.174, 0.755, 0.889)  (0.141, 0.859)        2594,499           ERROU          16:29:17
(-0.174, 0.755, 0.889)  (0.147, 0.853)        2595,022           ERROU          16:29:17
 (0.211, 0.755, 0.879)  (0.167, 0.833)        2595,547         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.182, 0.818)        2596,055         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.220, 0.780)        2596,570         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.445, 0.555)        2597,085         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.510, 0.490)        2597,609         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.505, 0.495)        2598,132         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.493, 0.507)        2598,653         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.494, 0.506)        2599,177         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.489, 0.511)        2599,698         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.489, 0.511)        2600,220         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.500, 0.500)        2600,721         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.761, 0.239)        2601,224         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.803, 0.197)        2601,737         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.829, 0.171)        2602,250         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.844, 0.156)        2602,763         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.858, 0.142)        2603,268         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.852, 0.148)        2603,792         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.842, 0.158)        2604,295         ACERTOU          16:31:50
 (0.211, 0.755, 0.879)  (0.822, 0.178)        2604,796         ACERTOU          16:31:50
