img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,Rest.stopped,REST_code,REST_tGlob,REST_tLSL,attention_cross.stopped,attempt.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.017111799999838695,0.01717750000534579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660726,001,2025-09-01_15h31.37.935,Graz,,2025.1.1,37.12653949899536,2025-09-01 15h31.44.589985 -0300,
,,,,,,,,,,,,,0.017206900010933168,0.017242100002476946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660726,001,2025-09-01_15h31.37.935,Graz,,2025.1.1,37.12653949899536,2025-09-01 15h31.44.589985 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,0,0,0,0,0,0,8,0.04498960000637453,,,,,,0.02232610000646673,1,0.045010400004684925,74200.2471316,2,0.04505780000181403,74200.247176,5.0649811000039335,7.078856899999664,7.2320656000083545,7.415605100002722,4,7.415632500007632,74207.6177546,8.328877400010242,8.32898840001144,8.355663300011656,5,8.355696900005569,74208.5578208,12.040537699998822,12.040576700004749,12.040633700002218,,,,,,660726,001,2025-09-01_15h31.37.935,Graz,,2025.1.1,37.12653949899536,2025-09-01 15h31.44.589985 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,1,1,0,0,1,1,2,12.070141400006833,,,,,,12.040744400001131,,,,2,12.070218200009549,74212.2723363,12.070141400006833,14.05852400000731,14.096050400010427,14.162512399998377,3,14.162537700001849,74214.3646596,15.315123699998367,15.315164300001925,15.342413999998826,5,15.342436899998575,74215.544558,19.06032899999991,19.060369300001184,19.060427800010075,6,12.070165400000405,74212.2722872,,,660726,001,2025-09-01_15h31.37.935,Graz,,2025.1.1,37.12653949899536,2025-09-01 15h31.44.589985 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,2,2,0,0,2,2,4,19.07138040001155,,,,,,19.06054230000882,,,,2,19.071433300006902,74219.2735515,19.07138040001155,21.0732915999979,21.110415100003593,21.129353600001195,3,21.129375700009405,74221.3314969,22.32006550001097,22.32010209999862,22.348523699998623,5,22.348546100009116,74222.5506672,26.079860500001814,26.079904199999874,26.07996390000335,6,19.07139320000715,74219.2735134,,,660726,001,2025-09-01_15h31.37.935,Graz,,2025.1.1,37.12653949899536,2025-09-01 15h31.44.589985 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,3,3,0,0,3,3,9,26.15451910000411,,,,,,26.080091000010725,,,,2,26.154602599999635,74226.3567208,26.15451910000411,28.081967100006295,28.121447800003807,28.14434070000425,4,28.144358100005775,74228.3464788,29.371158300011302,29.371196300009615,29.373636400006944,5,29.373661600009655,74229.5757835,33.10439600000973,33.10443870000017,33.10450370000035,6,26.154545600002166,74226.3566682,,,660726,001,2025-09-01_15h31.37.935,Graz,,2025.1.1,37.12653949899536,2025-09-01 15h31.44.589985 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,4,4,0,0,4,4,1,33.107197500008624,,,,,,33.104618199999095,,,,2,33.107301399999415,74233.3094233,33.107197500008624,35.089749100006884,35.1275125000102,35.14381170000706,3,35.14384210000571,74235.3459638,36.364377000005334,36.364417200005846,36.367453200000455,5,36.36747260000266,74236.5695947,40.106995399997686,40.10704010000336,40.10709889999998,6,33.107225800005835,74233.3093488,35.14381170000706,,660726,001,2025-09-01_15h31.37.935,Graz,,2025.1.1,37.12653949899536,2025-09-01 15h31.44.589985 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,5,5,0,0,5,5,7,40.13332629999786,,,,,,40.107208700006595,,,,2,40.133475499998895,74240.3355944,40.13332629999786,42.131344300010824,42.17014500001096,42.20881170000939,4,42.20883550000144,74242.4109569,43.38129900000058,43.38133820000803,43.4083171000093,5,43.40834170000744,74243.6104629,47.108561500004726,47.10860050001065,47.108660800004145,6,40.133350900010555,74240.3354719,,,660726,001,2025-09-01_15h31.37.935,Graz,,2025.1.1,37.12653949899536,2025-09-01 15h31.44.589985 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,6,6,0,0,6,6,3,47.13692390000506,,,,,,47.10877060001076,,,,2,47.137000800008536,74247.3391192,47.13692390000506,49.11959700001171,49.15736399999878,49.20044980000239,3,49.200474099998246,74249.4025951,50.37412800001039,50.37417049999931,50.37737940000079,5,50.37740430000122,74250.5795256,54.111487700007274,54.1115307,54.11159100000805,6,47.136948800005484,74247.3390701,,,660726,001,2025-09-01_15h31.37.935,Graz,,2025.1.1,37.12653949899536,2025-09-01 15h31.44.589985 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,7,7,0,0,7,7,5,54.139477100005024,,,,,,54.11171070000273,,,,2,54.1395659000118,74254.3416853,54.139477100005024,56.130044300007285,56.1688884000032,56.18962530000135,4,56.1896504000033,74256.391772,57.36825350001163,57.36829690000741,57.37069640000118,5,57.37074589999975,74257.5728721,61.1067030000122,61.10674960000324,61.106816700004856,6,54.13950430000841,74254.3416264,,61.110217300010845,660726,001,2025-09-01_15h31.37.935,Graz,,2025.1.1,37.12653949899536,2025-09-01 15h31.44.589985 -0300,
