img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,Rest.stopped,REST_code,REST_tGlob,REST_tLSL,attention_cross.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.09031720001075882,0.09038940000755247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,078494,001,2025-09-01_17h04.56.615,Graz,,2025.1.1,39.22996290244257,2025-09-01 17h04.59.820519 -0300,
,,,,,,,,,,,,,0.09042150000459515,0.09045699999842327,,,,,,,,,,,,,,,,,,,,,,,,,,,,078494,001,2025-09-01_17h04.56.615,Graz,,2025.1.1,39.22996290244257,2025-09-01 17h04.59.820519 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,0,0,0,0,0,0,1,0.11539160000393167,,,,,,0.09516360000998247,1,0.11543270001129713,79795.4755429,2,0.11551180000242312,79795.475617,5.1666205000074115,7.212971600005403,7.364071800009697,7.545583400002215,3,7.545612000001711,79802.9057177,8.37441430000763,8.374452100004419,8.446212499999092,5,8.446236200004932,79803.8063405,12.102283500003978,12.102320300007705,12.102377200004412,,,,,078494,001,2025-09-01_17h04.56.615,Graz,,2025.1.1,39.22996290244257,2025-09-01 17h04.59.820519 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,1,1,0,0,1,1,2,12.10502030000498,,,,,,12.102489500000956,,,,2,12.105099100008374,79807.4652033,12.10502030000498,14.110463200006052,14.15379500000563,14.210356900002807,3,14.210380900010932,79809.5704857,15.390733000007458,15.390771400008816,15.417148200009251,5,15.417170500004431,79810.777275,19.192756800010102,19.19279240000469,19.192851300002076,6,12.105039200003375,79807.4651464,,078494,001,2025-09-01_17h04.56.615,Graz,,2025.1.1,39.22996290244257,2025-09-01 17h04.59.820519 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,2,2,0,0,2,2,4,19.242615300012403,,,,,,19.192963100009365,,,,2,19.24270190000243,79814.6028043,19.242615300012403,21.214293400000315,21.250547500007087,21.296445400002995,3,21.296468400003505,79816.6565732,22.446796000003815,22.446839199998067,22.476738500001375,5,22.476761400001124,79817.8368662,26.255554300005315,26.255593300011242,26.255661100003636,6,19.242642299999716,79814.6027475,,078494,001,2025-09-01_17h04.56.615,Graz,,2025.1.1,39.22996290244257,2025-09-01 17h04.59.820519 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,3,3,0,0,3,3,8,26.281967100003385,,,,,,26.255830699999933,,,,2,26.2820417000039,79821.6421464,26.281967100003385,28.258381899999222,28.295152700011386,28.3352206999989,4,28.33524520001083,79823.6953505,29.519462700001895,29.51950230001239,29.522533499999554,5,29.5225511000026,79824.8826571,33.25796570000239,33.2580050000106,33.2580636000057,6,26.28199030000542,79821.6420955,,078494,001,2025-09-01_17h04.56.615,Graz,,2025.1.1,39.22996290244257,2025-09-01 17h04.59.820519 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,4,4,0,0,4,4,9,33.26103100000182,,,,,,33.25817120001011,,,,2,33.26109330001054,79828.6211947,33.26103100000182,35.24961300000723,35.28597510000691,35.3975696000125,4,35.397600100011914,79830.7577046,36.5335594000062,36.53359669999918,36.65782440001203,5,36.65784810000332,79832.0179525,40.27232170000207,40.272360000002664,40.27242170000682,6,33.26104789999954,79828.6211521,35.3975696000125,078494,001,2025-09-01_17h04.56.615,Graz,,2025.1.1,39.22996290244257,2025-09-01 17h04.59.820519 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,5,5,0,0,5,5,0,40.35054020000098,,,,,,40.27253110001038,,,,2,40.35062090000429,79835.7107226,40.35054020000098,42.285902900010115,42.32234579999931,42.407517900006496,3,42.40754210000159,79837.7676469,43.6010404000117,43.60107980000612,43.650551200000336,5,43.65057520000846,79839.0106801,47.27677760001097,47.27681650000159,47.276876400006586,6,40.35056610000902,79835.7106711,,078494,001,2025-09-01_17h04.56.615,Graz,,2025.1.1,39.22996290244257,2025-09-01 17h04.59.820519 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,6,6,0,0,6,6,7,47.331151899998076,,,,,,47.27698560000863,,,,2,47.33123300000443,79842.6913347,47.331151899998076,49.299353100010194,49.33938790000684,49.378877800001646,4,49.37890409999818,79844.7390093,50.54728470000555,50.54733080000733,50.573489700007485,5,50.57351470000867,79845.93362,54.28773780001211,54.287779100006446,54.28783970000222,6,47.331176200008485,79842.6912816,,078494,001,2025-09-01_17h04.56.615,Graz,,2025.1.1,39.22996290244257,2025-09-01 17h04.59.820519 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,7,7,0,0,7,7,5,54.291140500004985,,,,,,54.287956900006975,,,,2,54.29128080001101,79849.6513849,54.291140500004985,56.28337900000042,56.324227300006896,56.3610544000112,4,56.36108480000985,79851.7211898,57.543376700006775,57.543416600005,57.54578410000249,5,57.54581860000326,79852.9059258,61.29901170000085,61.29905860000872,61.29912090000289,6,54.291199800005415,79849.6513086,56.3610544000112,078494,001,2025-09-01_17h04.56.615,Graz,,2025.1.1,39.22996290244257,2025-09-01 17h04.59.820519 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,8,8,0,0,8,8,3,61.37170450000849,,,,,,61.29924000000756,,,,2,61.37178100000892,79856.7318826,61.37170450000849,63.324949900008505,63.362888000003295,63.52268660000118,3,63.52271040000778,79858.8828151,64.55641170000308,64.55645030000596,64.58796760000405,5,64.58799890000955,79859.9481049,68.35801890000585,68.35805780001101,68.35811500001,6,61.37172790001205,79856.7318326,,078494,001,2025-09-01_17h04.56.615,Graz,,2025.1.1,39.22996290244257,2025-09-01 17h04.59.820519 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,9,9,0,0,9,9,6,68.40789240000595,,,,,,68.3582260000112,,,,2,68.40796490000503,79863.7680664,68.40789240000595,70.40516070000012,70.44386170001235,70.57709420000901,4,70.57711830000335,79865.9372231,71.65814369999862,71.65818740001123,71.70841160000418,5,71.70843920001062,79867.0685439,75.39984570001252,75.39988340000855,75.39993980000145,6,68.40791500000341,79863.7680196,,078494,001,2025-09-01_17h04.56.615,Graz,,2025.1.1,39.22996290244257,2025-09-01 17h04.59.820519 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,10,0,1,1,0,10,4,75.44970770001237,,,,,,75.40005400001246,,,,2,75.44978750000882,79870.8098892,75.44970770001237,77.44000970000343,77.48291370000516,77.63306420001027,3,77.6330878000008,79872.9931925,78.68949190000421,78.68952910001099,78.76220720000856,5,78.76223220000975,79874.1223367,82.46154300001217,82.46158570000262,82.4616429000016,6,75.44973430001119,79870.8098391,,078494,001,2025-09-01_17h04.56.615,Graz,,2025.1.1,39.22996290244257,2025-09-01 17h04.59.820519 -0300,
