img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attempt.stopped,image_2.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,8,8,0,0,8,8,1,75.10314060002565,,,,,,75.08674840000458,,,,2,75.1031697000144,955831.3847006,75.10314060002565,77.1377847000258,77.08661300002132,77.13033970003016,77.1377847000258,3,77.1378129000077,955833.4193443,78.35398819996044,78.35402590001468,78.37025849998463,5,78.37028160004411,955834.6518122,82.10669409995899,82.10673320002388,82.11997969995718,6,82.12000029999763,955838.4015308,84.10337380005512,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,9,9,0,0,9,9,7,84.12008380005136,,,,,,84.1035058000125,,,,2,84.12011250003707,955840.4016438,84.12008380005136,,86.10260600002948,86.14804170001298,86.15387230005581,4,86.15389109996613,955842.4354216,87.3528965000296,87.35293609998189,87.36973539995961,5,87.3697564000031,955843.6512865,91.10237990005407,91.102416299982,91.11897539999336,6,91.11899590003304,955847.4005265,93.10246399999596,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,10,0,1,1,0,10,0,93.11896049999632,,,,,,93.1026012999937,,,,2,93.11898999998812,955849.4005213,93.11896049999632,,95.10228780005127,95.15346259996295,95.17007939994801,3,95.17010139999911,955851.4516331,96.35311250004452,96.3531520999968,96.36941020004451,5,96.36943129997235,955852.6509621,100.0879671999719,100.08800850005355,100.10294120002072,6,100.10296359995846,955856.3844942,102.101847599959,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,11,1,1,1,1,11,4,102.1183960000053,,,,,,102.10197650000919,,,,2,102.11842339998111,955858.3999544,102.1183960000053,,104.10459030000493,104.15107539994642,104.16962800000329,3,104.16964830004144,955860.4511797,105.35260980005842,105.3526489000069,105.36895589996129,5,105.36897750000935,955861.6505084,109.10188079997897,109.10192579997238,109.11803140002303,6,109.11805179994553,955865.3995827,111.101366900024,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,12,2,1,1,2,12,1,111.11787509999704,,,,,,111.1014937000582,,,,2,111.11790169996675,955867.3994324,111.11787509999704,,113.10165750002488,113.14609569997992,113.15337179997005,3,113.15339300001506,955869.4349238,114.3522638999857,114.35230280004907,114.3684594000224,5,114.36848139995709,955870.6500123,118.10249249998014,118.10254760005046,118.11753739998676,6,118.11755720002111,955874.3990877,120.10110049997456,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,13,3,1,1,3,13,2,120.1199674999807,,,,,,120.10122730000876,,,,2,120.12001880002208,955876.4015554,120.1199674999807,,122.10075290000532,122.14514240005519,122.15405150002334,3,122.15408530004788,955878.4356208,123.35136329999659,123.3514051999664,123.36808769998606,5,123.36810870002955,955879.6496394,127.10053329996299,127.10057070001494,127.11708380002528,6,127.11710509995464,955883.3986362,129.10111379995942,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,14,4,1,1,4,14,7,129.11736669996753,,,,,,129.10124250000808,,,,2,129.11739380005747,955885.3989249,129.11736669996753,,131.10041960002854,131.14617770002224,131.15135780000128,4,131.15137670002878,955887.432907,132.3511319999816,132.35117190005258,132.3672733999556,5,132.36729389999527,955888.6488244,136.1012240999844,136.10126849997323,136.11661449994426,6,136.11663519998547,955892.3981658,138.09996260004118,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,15,5,1,1,5,15,8,138.1166314999573,,,,,,138.10010260005947,,,,2,138.1166597000556,955894.3981906,138.1166314999573,,140.10032490000594,140.14486430003308,140.15098589996342,4,140.15100359998178,955896.4325339,141.35049260000233,141.35052990005352,141.36718449997716,5,141.36720540001988,955897.6487366,145.09951740002725,145.09955589997116,145.1161208000267,6,145.11614109994844,955901.3976721,147.0995033000363,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,16,6,1,1,6,16,6,147.11591489997227,,,,,,147.09963359998073,,,,2,147.1159416999435,955903.397473,147.11591489997227,,149.09994019998703,149.14505509997252,149.15060799999628,4,149.15063070005272,955905.432163,150.35026790003758,150.3503100000089,150.36670629994478,5,150.36672809999436,955906.6482598,154.09986700001173,154.0999047999503,154.11632769997232,6,154.1163500000257,955910.397881,156.0989573999541,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,17,7,1,1,7,17,9,156.1159913999727,,,,,,156.099086000002,,,,2,156.11601859994698,955912.3975496,156.1159913999727,,158.09932110004593,158.1443829999771,158.15098789997865,4,158.15100930002518,955914.4325404,159.35016919998452,159.35021519998554,159.36598979996052,5,159.36601140000857,955915.6475423,163.0987962000072,163.09883409994654,163.11580499995034,6,163.11582559999079,955919.3973565,165.1007505999878,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,18,8,1,1,8,18,5,165.1151565000182,,,,,,165.10099189996254,,,,2,165.11518399999477,955921.3967151,165.1151565000182,,167.09842449997086,167.14351610001177,167.1495891000377,4,167.14960749994498,955923.4311381,168.34931269998197,168.34935280005448,168.36562960001174,5,168.36565159994643,955924.6471831,172.09818410000298,172.0982282999903,172.11453719995916,6,172.1145586000057,955928.396089,174.09810840000864,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,19,9,1,1,9,19,3,174.11460269999225,,,,,,174.09823300002608,,,,2,174.11462929996196,955930.3961609,174.11460269999225,,176.09791759995278,176.14278190000914,176.14905520004686,3,176.14907459996175,955932.4306049,177.35100440005772,177.3510448000161,177.36700009997003,5,177.36702170001809,955933.6485528,181.09810269996524,181.0981416000286,181.11417059996165,6,181.1141890999861,955937.3957195,183.09828349994496,,,,,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.09837529994547,183.09843250003178,,,,358546,001,2026-06-22_00h09.21.978,Graz,,2025.1.1,61.57165343695601,2026-06-22 00h09.25.735320 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,183.11506340000778,955939.3965958,,,,,,,,,
