img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.07893919991329312,0.0790057999547571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945728,001,2025-12-03_19h05.53.194,Graz,,2025.1.1,60.21517292507025,2025-12-03 19h05.58.296772 -0300,
,,,,,,,,,,,,,0.07903609983623028,0.0790712998714298,,,,,,,,,,,,,,,,,,,,,,,,,,,,945728,001,2025-12-03_19h05.53.194,Graz,,2025.1.1,60.21517292507025,2025-12-03 19h05.58.296772 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,0,0,0,0,0,0,4,0.09234749991446733,,,,,,0.08367279986850917,1,0.09236929984763265,1177705.0873099,2,0.09241329994983971,1177705.0873502,3.0925123000051826,5.080800799885765,5.149365399964154,5.161250399891287,3,5.161274299956858,1177710.1562143,6.3295608998741955,6.329603499965742,6.3442988998722285,5,6.34432419994846,1177711.339265,10.09355550003238,10.093591999961063,10.113288499880582,6,10.113341599935666,1177715.1082898,12.093939499929547,945728,001,2025-12-03_19h05.53.194,Graz,,2025.1.1,60.21517292507025,2025-12-03 19h05.58.296772 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,1,1,0,0,1,1,6,12.111020899843425,,,,,,12.094073999905959,,,,2,12.111048099817708,1177717.1059878,12.111020899843425,14.095109999878332,14.139184899860993,14.16030430002138,4,14.160325199831277,1177719.155265,15.344907999970019,15.344947000034153,15.362654499942437,5,15.362712600035593,1177720.3576635,19.093194599961862,19.09323149989359,19.108675400028005,6,19.108696999959648,1177724.1036367,21.093663999810815,945728,001,2025-12-03_19h05.53.194,Graz,,2025.1.1,60.21517292507025,2025-12-03 19h05.58.296772 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,2,2,0,0,2,2,5,21.108500599861145,,,,,,21.0937944999896,,,,2,21.108528399839997,1177726.1034684,21.108500599861145,23.094210600014776,23.139367299852893,23.159838899970055,4,23.159859800012782,1177728.1547989,24.342192800017074,24.342240700032562,24.35864229989238,5,24.35866459994577,1177729.3536046,28.091803999850526,28.091842599911615,28.109555799979717,6,28.10957650002092,1177733.1045159,30.092784599866718,945728,001,2025-12-03_19h05.53.194,Graz,,2025.1.1,60.21517292507025,2025-12-03 19h05.58.296772 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,3,3,0,0,3,3,2,30.109491099836305,,,,,,30.092909099999815,,,,2,30.10952249984257,1177735.1044637,30.109491099836305,32.09316669986583,32.13694949983619,32.14261999982409,3,32.142647200031206,1177737.137588,33.34348039980978,33.34351969999261,33.35901269991882,5,33.3590354998596,1177738.3539758,37.09870329988189,37.09878159989603,37.10893610003404,6,37.10895859985612,1177742.1038989,39.09392589982599,945728,001,2025-12-03_19h05.53.194,Graz,,2025.1.1,60.21517292507025,2025-12-03 19h05.58.296772 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,4,4,0,0,4,4,0,39.11367679992691,,,,,,39.09405149985105,,,,2,39.11375300004147,1177744.1087058,39.11367679992691,41.0918601998128,41.13877630000934,41.15897400001995,3,41.158999799983576,1177746.1539401,42.341809700010344,42.3418511999771,42.35755619988777,5,42.35757949994877,1177747.3525204,46.09103829995729,46.0910771000199,46.1074784998782,6,46.10750269982964,1177751.1024433,48.09079289995134,945728,001,2025-12-03_19h05.53.194,Graz,,2025.1.1,60.21517292507025,2025-12-03 19h05.58.296772 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,5,5,0,0,5,5,3,48.10716999997385,,,,,,48.09091789997183,,,,2,48.10719819995575,1177753.1021383,48.10716999997385,50.09035269985907,50.13376749982126,50.140812299912795,3,50.140835999976844,1177755.1357759,51.340529799927026,51.34057209989987,51.35789019986987,5,51.3579110999126,1177756.3528511,55.09132199990563,55.0913600998465,55.10667399992235,6,55.106721399817616,1177760.1016645,57.09030139981769,945728,001,2025-12-03_19h05.53.194,Graz,,2025.1.1,60.21517292507025,2025-12-03 19h05.58.296772 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,6,6,0,0,6,6,7,57.109115900006145,,,,,,57.09042409993708,,,,2,57.109142599860206,1177762.1040825,57.109115900006145,59.09060709993355,59.137674999888986,59.15972729981877,4,59.15980909997597,1177764.1547606,60.340399199863896,60.340442599961534,60.35749910003506,5,60.35751999984495,1177765.3524597,64.09076379984617,64.09080150001682,64.10716369980946,6,64.10718499985524,1177769.102125,66.09076009993441,945728,001,2025-12-03_19h05.53.194,Graz,,2025.1.1,60.21517292507025,2025-12-03 19h05.58.296772 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,7,7,0,0,7,7,1,66.10763849993236,,,,,,66.09088779985905,,,,2,66.10766709991731,1177771.1026072,66.10763849993236,68.09057140001096,68.13481589988805,68.13996629999019,3,68.13999219983816,1177773.1349329,69.3394478999544,69.33948759990744,69.35602770000696,5,69.35604909993708,1177774.350989,73.09399660001509,73.09406049991958,73.10685219988227,6,73.10687379981391,1177778.1018138,75.09102309984155,945728,001,2025-12-03_19h05.53.194,Graz,,2025.1.1,60.21517292507025,2025-12-03 19h05.58.296772 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,8,8,0,0,8,8,8,75.10762509983033,,,,,,75.09115289989859,,,,2,75.10765489982441,1177780.1025955,75.10762509983033,77.0898092999123,77.1437446998898,77.15611499990337,4,77.15613969997503,1177782.1510805,78.33947489992715,78.33951590000652,78.3558086999692,5,78.35582889989018,1177783.3507685,82.09065579995513,82.09069700003602,82.10654039983638,6,82.10656400001608,1177787.1015042,84.08836649986915,945728,001,2025-12-03_19h05.53.194,Graz,,2025.1.1,60.21517292507025,2025-12-03 19h05.58.296772 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,9,9,0,0,9,9,9,84.10485819983296,,,,,,84.08849260001443,,,,2,84.10488629993051,1177789.099826,84.10485819983296,86.09274819982238,86.15598989999853,86.17265950003639,4,86.17268249997869,1177791.167623,87.33869479992427,87.33873229986057,87.35498910001479,5,87.35500879981555,1177792.3499481,91.08867219998501,91.08871169993654,91.10522000002675,6,91.1052430998534,1177796.1001838,93.08869339991361,945728,001,2025-12-03_19h05.53.194,Graz,,2025.1.1,60.21517292507025,2025-12-03 19h05.58.296772 -0300,
