img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.09728549991268665,0.09735689999070019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609201,001,2025-11-27_21h02.06.865,Graz,,2025.1.1,36.61367446946582,2025-11-27 21h02.22.737155 -0300,
,,,,,,,,,,,,,0.0973896998912096,0.09742599993478507,,,,,,,,,,,,,,,,,,,,,,,,,,,,609201,001,2025-11-27_21h02.06.865,Graz,,2025.1.1,36.61367446946582,2025-11-27 21h02.22.737155 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,0,0,0,0,0,0,1,0.12311569997109473,,,,,,0.10268169990740716,1,0.1231318999780342,666268.0895555,2,0.12317279994022101,666268.089594,3.1321073999861255,5.1088561998913065,5.223747999989428,5.271296299993992,3,5.2713194999378175,666273.2377444,6.367635199916549,6.367672799970023,6.394999999902211,5,6.395021099946462,666274.3614457,10.111326299957,10.111363199888729,10.138704599929042,6,10.138726799981669,666278.1051515,12.107849099906161,609201,001,2025-11-27_21h02.06.865,Graz,,2025.1.1,36.61367446946582,2025-11-27 21h02.22.737155 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,1,1,0,0,1,1,7,12.133344099973328,,,,,,12.107992899953388,,,,2,12.133374299970455,666280.0997993,12.133344099973328,14.11573399999179,14.1539428998949,14.172939699958079,4,14.172959699993953,666282.1393843,15.370729199959897,15.370768299908377,15.397974899969995,5,15.398001999943517,666283.364428,19.10819509997964,19.108238099957816,19.132439699955285,6,19.132482799934223,666287.0989101,21.11667239991948,609201,001,2025-11-27_21h02.06.865,Graz,,2025.1.1,36.61367446946582,2025-11-27 21h02.22.737155 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,2,2,0,0,2,2,6,21.140997599926777,,,,,,21.116836199886166,,,,2,21.14102819992695,666289.1074536,21.140997599926777,23.098269999958575,23.138534999918193,23.171774399932474,4,23.171799199888483,666291.1382249,24.35472069995012,24.354819399886765,24.37901209993288,5,24.379036599886604,666292.3454622,28.121334299910814,28.121378199895844,28.145624400000088,6,28.145648299949244,666296.1120726,30.106065099942498,609201,001,2025-11-27_21h02.06.865,Graz,,2025.1.1,36.61367446946582,2025-11-27 21h02.22.737155 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,3,3,0,0,3,3,9,30.13054879999254,,,,,,30.10626739996951,,,,2,30.130585499922745,666298.0970117,30.13054879999254,32.106654599891044,32.148809199919924,32.18064629996661,4,32.18069559999276,666300.1471258,33.355833099922165,33.35587349999696,33.38033339998219,5,33.380357899935916,666301.346783,37.110819799941964,37.11087389988825,37.13527079997584,6,37.1352959999349,666305.1017215,39.1093071999494,609201,001,2025-11-27_21h02.06.865,Graz,,2025.1.1,36.61367446946582,2025-11-27 21h02.22.737155 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,4,4,0,0,4,4,3,39.13385639991611,,,,,,39.10944629996084,,,,2,39.13388889993075,666307.1003154,39.13385639991611,41.09849519992713,41.134549199952744,41.17206999997143,3,41.172096099937335,666309.1385212,42.36941809998825,42.369496399885975,42.39364099991508,5,42.393665299983695,666310.3600901,46.11511899996549,46.1151600999292,46.13947149994783,6,46.139495999901555,666314.1059212,48.09847489988897,609201,001,2025-11-27_21h02.06.865,Graz,,2025.1.1,36.61367446946582,2025-11-27 21h02.22.737155 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,5,5,0,0,5,5,4,48.12281399988569,,,,,,48.09864499990363,,,,2,48.12284609989729,666316.0892716,48.12281399988569,50.102549199946225,50.1405695999274,50.17686889995821,3,50.17690419999417,666318.1433369,51.357787199900486,51.35789639991708,51.38189669989515,5,51.38192159996834,666319.3483466,55.121312999981456,55.12137849989813,55.145659099915065,6,55.1456817999715,666323.1121066,57.10899309988599,609201,001,2025-11-27_21h02.06.865,Graz,,2025.1.1,36.61367446946582,2025-11-27 21h02.22.737155 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,6,6,0,0,6,6,5,57.13330919994041,,,,,,57.109154899953865,,,,2,57.13333989994135,666325.0997654,57.13330919994041,59.12927099992521,59.16754959989339,59.202912799897604,4,59.20293849997688,666327.1693638,60.352303199935704,60.352344299899414,60.376618699985556,5,60.37664229993243,666328.3430674,64.10925129998941,64.10928999993484,64.13369249994867,6,64.13371709990315,666332.1001422,66.10702849994414,609201,001,2025-11-27_21h02.06.865,Graz,,2025.1.1,36.61367446946582,2025-11-27 21h02.22.737155 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,7,7,0,0,7,7,2,66.13134019996505,,,,,,66.10718679998536,,,,2,66.13136939995456,666334.0977951,66.13134019996505,68.11226979992352,68.14882579992991,68.18588179990184,3,68.18591049988754,666336.1523358,69.35909809998702,69.35914229997434,69.38342609989922,5,69.38344799994957,666337.3498726,73.10840329993516,73.10847269999795,73.13262129994109,6,73.13268269994296,666341.0991201,75.11683059995994,609201,001,2025-11-27_21h02.06.865,Graz,,2025.1.1,36.61367446946582,2025-11-27 21h02.22.737155 -0300,
