img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,image_2.stopped,Rest.stopped,attempt.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.05706420000024082,0.05715989999953308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640488,001,2025-09-02_18h00.43.710,Graz,,2025.1.1,60.00999766620133,2025-09-02 18h00.56.599241 -0300,
,,,,,,,,,,,,,0.05718859999979031,0.05723000000034517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640488,001,2025-09-02_18h00.43.710,Graz,,2025.1.1,60.00999766620133,2025-09-02 18h00.56.599241 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,0,0,0,0,0,0,8,0.07056849999935366,,,,,,0.062419100000624894,1,0.07058929999948305,10499.9609208,2,0.0706382999997004,10499.9609619,1.0706492999997863,3.1245851999992738,3.055710700000418,3.113503500000661,3.1245851999992738,4,3.124623800000336,10503.0149525,4.322062699999151,4.322102300000552,4.338190099999338,5,4.338207099999636,10504.2285324,8.05771359999926,8.057764699999098,8.072389200000543,6,8.072425500000463,10507.9627549,10.071631299999353,10.057185600000594,,640488,001,2025-09-02_18h00.43.710,Graz,,2025.1.1,60.00999766620133,2025-09-02 18h00.56.599241 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,1,1,0,0,1,1,0,10.071631299999353,,,,,,10.057352899999387,,,,2,10.07233989999986,10509.9626743,10.071631299999353,12.104825399999754,12.057218300000386,12.09893369999918,12.104825399999754,3,12.104858000000604,10511.9951858,13.322799499999746,13.322844399999667,13.338209300000017,5,13.338236499999766,10513.2285637,17.072862600000008,17.072912100000394,17.091442499999175,6,17.09147379999922,10516.9818081,,19.072165999999925,,640488,001,2025-09-02_18h00.43.710,Graz,,2025.1.1,60.00999766620133,2025-09-02 18h00.56.599241 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,2,2,0,0,2,2,9,19.08865870000045,,,,,,19.07236019999982,,,,2,19.088699100000667,10518.9790285,19.08865870000045,,21.058595200000127,21.101424799999222,21.106250900000305,4,21.10628100000031,10520.9966085,22.904710599999817,22.904747000000498,22.92069409999931,5,22.92072240000016,10522.8110492,26.07189379999909,26.07195429999956,26.08816929999921,6,26.088195899999846,10525.978524,,28.070465999999215,,640488,001,2025-09-02_18h00.43.710,Graz,,2025.1.1,60.00999766620133,2025-09-02 18h00.56.599241 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,3,3,0,0,3,3,2,28.0869148999991,,,,,,28.070591699999568,,,,2,28.086946499999613,10527.9772744,28.0869148999991,,30.071659799999907,30.11439050000081,30.12177370000063,3,30.121801699999196,10530.0121291,31.321874999999636,31.32192319999922,31.338125899999795,5,31.33815329999925,10531.2284815,35.07204740000088,35.072094999999536,35.08794250000028,6,35.08797170000071,10534.9783084,,37.071533199999976,,640488,001,2025-09-02_18h00.43.710,Graz,,2025.1.1,60.00999766620133,2025-09-02 18h00.56.599241 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,4,4,0,0,4,4,5,37.088092199999664,,,,,,37.07170659999974,,,,2,37.08813240000018,10536.9784615,37.088092199999664,,39.071822600000814,39.11316660000011,39.12148200000047,4,39.12150760000077,10539.011837,40.321763899999496,40.32184159999997,40.338397800000166,5,40.3384272000003,10540.2287564,44.07157240000015,44.071622400000706,44.08821820000048,6,44.0882459000004,10543.9785743,,46.071809200000644,,640488,001,2025-09-02_18h00.43.710,Graz,,2025.1.1,60.00999766620133,2025-09-02 18h00.56.599241 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,5,5,0,0,5,5,4,46.08819279999989,,,,,,46.071978100000706,,,,2,46.08822879999934,10545.9785571,46.08819279999989,,48.07302510000045,48.11702499999956,48.12166780000007,3,48.12169150000045,10548.012019,49.322958000000654,49.32301130000087,49.33940699999948,5,49.33942709999974,10549.2297533,53.07247429999916,53.07250919999933,53.088544599999295,6,53.08857250000074,10552.9789,,55.07242629999928,,640488,001,2025-09-02_18h00.43.710,Graz,,2025.1.1,60.00999766620133,2025-09-02 18h00.56.599241 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,6,6,0,0,6,6,7,55.091455899999346,,,,,,55.072660499999984,,,,2,55.09148620000087,10554.9818135,55.091455899999346,,57.07318999999916,57.113973100000294,57.12520740000036,4,57.125239499999225,10557.0155677,58.32307310000033,58.323131099999955,58.339359600000535,5,58.33937759999935,10558.2297029,62.07340649999969,62.07345680000071,62.08940299999995,6,62.089430599999105,10561.9797581,,64.07364810000036,,640488,001,2025-09-02_18h00.43.710,Graz,,2025.1.1,60.00999766620133,2025-09-02 18h00.56.599241 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,7,7,0,0,7,7,3,64.08968309999909,,,,,,64.07382189999953,,,,2,64.08971229999952,10563.9800385,64.08968309999909,,66.07285170000068,66.11277660000087,66.12217779999992,3,66.12220189999971,10566.0125302,67.32209259999945,67.32214209999984,67.33941029999914,5,67.33942840000054,10567.2297541,71.0726553000004,71.07269780000024,71.08978980000029,6,71.08981569999924,10570.9801433,,73.07311459999983,,640488,001,2025-09-02_18h00.43.710,Graz,,2025.1.1,60.00999766620133,2025-09-02 18h00.56.599241 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,8,8,0,0,8,8,6,73.08994510000048,,,,,,73.07326869999997,,,,2,73.0899800999996,10572.9803076,73.08994510000048,,75.07327070000065,75.11501019999923,75.12240980000024,4,75.1225613000006,10575.0129007,76.32229750000079,76.32234190000054,76.3400228999999,5,76.34004649999952,10576.2303739,80.07363749999968,80.07368119999956,80.08907089999957,6,80.08938630000011,10579.9797209,,82.07332889999998,,640488,001,2025-09-02_18h00.43.710,Graz,,2025.1.1,60.00999766620133,2025-09-02 18h00.56.599241 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,9,9,0,0,9,9,1,82.08979589999944,,,,,,82.07349199999953,,,,2,82.08983199999966,10581.98016,82.08979589999944,,84.07385830000021,84.11447070000031,84.12252129999979,3,84.1225484000006,10584.0128766,85.30780699999923,85.30785970000034,85.32265870000083,5,85.32268750000003,10585.2130171,89.05662029999985,89.05665480000062,89.0728223999995,6,89.07285629999933,10588.9631838,91.07361160000073,91.05674390000058,89.0728223999995,640488,001,2025-09-02_18h00.43.710,Graz,,2025.1.1,60.00999766620133,2025-09-02 18h00.56.599241 -0300,
