img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attempt.stopped,image_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.1117108000908047,0.11178220005240291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071538,001,2026-05-06_15h13.46.414,Graz,,2025.1.1,60.03042342662078,2026-05-06 15h13.57.106648 -0300,
,,,,,,,,,,,,,0.11180890002287924,0.11184240004513413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071538,001,2026-05-06_15h13.46.414,Graz,,2025.1.1,60.03042342662078,2026-05-06 15h13.57.106648 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,0,0,0,0,0,0,2,0.12765810010023415,,,,,,0.11601840006187558,1,0.12768500007223338,532208.1276123,2,0.12775570002850145,532208.1276778,3.1257699000416324,5.160949500044808,5.108967800042592,5.1529639000073075,5.160949500044808,3,5.1609814000548795,532213.1609068,6.375579200102948,6.375608200090937,6.392285000067204,5,6.392300900071859,532214.3922231,10.12584680004511,10.125876800040714,10.142233500024304,6,10.142250500037335,532218.1421724,12.126395900035277,,,071538,001,2026-05-06_15h13.46.414,Graz,,2025.1.1,60.03042342662078,2026-05-06 15h13.57.106648 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,1,1,0,0,1,1,4,12.142261200002395,,,,,,12.126499000005424,,,,2,12.142283100052737,532220.1422053,12.142261200002395,,14.127877000020817,14.164385100011714,14.17729160003364,3,14.177308400045149,532222.1772307,15.375562300090678,15.375592300086282,15.392143000033684,5,15.392159300041385,532223.3920808,19.125261100009084,19.1252947000321,19.142530400073156,6,19.142553300014697,532227.1424773,21.12532450002618,,,071538,001,2026-05-06_15h13.46.414,Graz,,2025.1.1,60.03042342662078,2026-05-06 15h13.57.106648 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,2,2,0,0,2,2,1,21.14195750001818,,,,,,21.12543110002298,,,,2,21.141979500069283,532229.1419017,21.14195750001818,,23.125546500086784,23.165002400055528,23.17640009999741,3,23.17641790001653,532231.1763401,24.362719100085087,24.36275279999245,24.379023500019684,5,24.379046000074595,532232.3789692,28.126270200009458,28.12631250009872,28.14256710000336,6,28.142584200017154,532236.1425065,30.125665900064632,,,071538,001,2026-05-06_15h13.46.414,Graz,,2025.1.1,60.03042342662078,2026-05-06 15h13.57.106648 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,3,3,0,0,3,3,7,30.142655600095168,,,,,,30.125772900064476,,,,2,30.142679800046608,532238.142603,30.142655600095168,,32.12547570001334,32.16417840006761,32.176499400055036,4,32.17650960001629,532240.1764311,33.363130500074476,33.36316380009521,33.37566640006844,5,33.375681700068526,532241.3756034,37.10952600010205,37.10955140006263,37.12565430009272,6,37.125676800031215,532245.1255992,39.10902299999725,37.12565430009272,39.125578300096095,071538,001,2026-05-06_15h13.46.414,Graz,,2025.1.1,60.03042342662078,2026-05-06 15h13.57.106648 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,4,4,0,0,4,4,0,39.125578300096095,,,,,,39.109120700042695,,,,2,39.12559820001479,532247.1255194,39.125578300096095,41.16288020007778,41.10967949999031,41.15023430006113,41.16288020007778,3,41.16290530003607,532249.1628284,42.36413290002383,42.364179700030945,42.37806320004165,5,42.378082400071435,532250.3780049,46.1263679000549,46.12639970006421,46.14297040004749,6,46.14298740006052,532254.14291,48.12590500002261,,,071538,001,2026-05-06_15h13.46.414,Graz,,2025.1.1,60.03042342662078,2026-05-06 15h13.57.106648 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,5,5,0,0,5,5,6,48.14265580009669,,,,,,48.126012700027786,,,,2,48.14267590001691,532256.1425975,48.14265580009669,,50.12659330002498,50.1695646001026,50.17810380004812,4,50.178121700068004,532258.1780438,51.37672330008354,51.37675759999547,51.39317050005775,5,51.39318700006697,532259.393109,55.12592450005468,55.125951900030486,55.14261270000134,6,55.142628200002946,532263.1425499,57.12764280010015,,,071538,001,2026-05-06_15h13.46.414,Graz,,2025.1.1,60.03042342662078,2026-05-06 15h13.57.106648 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,6,6,0,0,6,6,9,57.14751820010133,,,,,,57.127818100037985,,,,2,57.14754510007333,532265.1474681,57.14751820010133,,59.126010600011796,59.165101999999024,59.17579430004116,4,59.1758105000481,532267.175733,60.37686030007899,60.376893900102004,60.39367050002329,5,60.39368610002566,532268.3936078,64.1266947000986,64.12673130002804,64.14353560004383,6,64.14355140004773,532272.1434736,66.12756779999472,,,071538,001,2026-05-06_15h13.46.414,Graz,,2025.1.1,60.03042342662078,2026-05-06 15h13.57.106648 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,7,7,0,0,7,7,3,66.14424960000906,,,,,,66.12767560000066,,,,2,66.14427170006093,532274.144194,66.14424960000906,,68.12695740000345,68.16650630009826,68.17675700003747,3,68.17678760003764,532276.1767123,69.3769547000993,69.3769878000021,69.39342610002495,5,69.39344370004255,532277.3933657,73.11272840003949,73.11275840003509,73.12758730002679,6,73.12760370003525,532281.1275255,75.11282610008493,,,071538,001,2026-05-06_15h13.46.414,Graz,,2025.1.1,60.03042342662078,2026-05-06 15h13.57.106648 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,8,8,0,0,8,8,5,75.12767080008052,,,,,,75.11293010006193,,,,2,75.12769250001293,532283.1276149,75.12767080008052,77.16242549999151,77.1111010001041,77.15002140006982,77.16242549999151,4,77.16244760004338,532285.1623701,78.36756810010411,78.36760170001071,78.37767630000599,5,78.3776931000175,532286.3776151,82.11108400009107,82.11111060006078,82.1335235000588,6,82.13354700000491,532290.1334697,84.13247870001942,82.1335235000588,,071538,001,2026-05-06_15h13.46.414,Graz,,2025.1.1,60.03042342662078,2026-05-06 15h13.57.106648 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,9,9,0,0,9,9,8,84.14369260007516,,,,,,84.1325965001015,,,,2,84.14371380000375,532292.1436356,84.14369260007516,,86.12867440003902,86.16852700000163,86.17770790006034,4,86.17772200005129,532294.1776434,87.3774962000316,87.37752730003558,87.39399810007308,5,87.39401450008154,532295.3939363,91.11196960008238,91.11200320010539,91.13072660006583,6,91.13074809999671,532299.1306707,93.11303500004578,,,071538,001,2026-05-06_15h13.46.414,Graz,,2025.1.1,60.03042342662078,2026-05-06 15h13.57.106648 -0300,
