img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attempt.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,8,8,0,0,8,8,4,75.10393089987338,,,,,,75.0870478998404,,,,2,75.1039807999041,1276676.7695509,75.10393089987338,,77.09004609985277,77.1419840999879,77.15849309996702,3,77.1585210999474,1276678.8240873,78.34361979993992,78.34367279987782,78.3592044999823,5,78.35924019990489,1276680.0248091,82.10124409990385,82.1013171998784,82.11805449984968,6,82.11809679982252,1276683.7836679,84.08697830000892,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,9,9,0,0,9,9,6,84.1039196997881,,,,,,84.0871552999597,,,,2,84.10395609983243,1276685.7695232,84.1039196997881,,86.0898674998898,86.1496526999399,86.15920759993605,4,86.15924259996973,1276687.8248108,87.34356419998221,87.34360729996115,87.36027409997769,5,87.36031029978767,1276689.0258776,91.08535609999672,91.0853969999589,91.10120549984276,6,91.10122630000114,1276692.7667911,93.08635849994607,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,10,0,1,1,0,10,5,93.10253309994005,,,,,,93.08648790000007,,,,2,93.10256199981086,1276694.7681276,93.10253309994005,,95.09090909990482,95.15514899999835,95.1749045997858,4,95.17492529982701,1276696.84049,96.3431530999951,96.34319329983555,96.35902450000867,5,96.35904619982466,1276698.0246114,100.08560819993727,100.08564499998465,100.09978829999454,6,100.09981159982271,1276701.7653768,102.08692199992947,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,11,1,1,1,1,11,4,102.10292449989356,,,,,,102.08705319999717,,,,2,102.10295609990135,1276703.7685214,102.10292449989356,,104.09200979978777,104.13729369989596,104.1610378997866,3,104.16106239985675,1276705.8266276,105.34220309997909,105.34224749985151,105.35860019992106,5,105.35862109996378,1276707.0241857,109.10211239987984,109.10215239995159,109.11709939991124,6,109.1171214999631,1276710.7826866,111.10297109978274,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,12,2,1,1,2,12,9,111.1191534998361,,,,,,111.10311389993876,,,,2,111.11918229982257,1276712.7847484,111.1191534998361,,113.08959719981067,113.14111899980344,113.15735699981451,4,113.15737789985724,1276714.822943,114.34212399995886,114.34216289990582,114.35875179991126,5,114.35877319984138,1276716.0243386,118.10305789997801,118.10317019978538,118.11843919986859,6,118.11849909997545,1276719.7840765,120.08560619992204,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,13,3,1,1,3,13,8,120.1029352999758,,,,,,120.08575430000201,,,,2,120.10297289979644,1276721.7685402,120.1029352999758,,122.08910949993879,122.13493199995719,122.14113159989938,4,122.14115339983255,1276723.8067183,123.34209969989024,123.34213719982654,123.35849519982003,5,123.35851699998602,1276725.0240818,127.09971809992567,127.09976999997161,127.11565159983002,6,127.11568009993061,1276728.7812469,129.08629259979352,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,14,4,1,1,4,14,6,129.10261539998464,,,,,,129.0864883000031,,,,2,129.10265639983118,1276730.7682249,129.10261539998464,,131.0894144999329,131.1424657998141,131.15674989996478,4,131.15677149989642,1276732.8223368,132.3419665999245,132.34200549987145,132.35749159986153,5,132.35751319979317,1276734.0230788,136.10043739993125,136.10048079979606,136.11563919996843,6,136.1156627999153,1276737.7812283,138.08541870000772,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,15,5,1,1,5,15,2,138.10202239989303,,,,,,138.08554529980756,,,,2,138.10205310001038,1276739.7676189,138.10202239989303,,140.08856929978356,140.13874139986,140.1569240000099,3,140.15694469981827,1276741.8225094,141.3416651999578,141.34170429990627,141.35783769981936,5,141.35785979987122,1276743.023425,145.10008099977858,145.10015139984898,145.11504039983265,6,145.11506879981607,1276746.780636,147.10190019989386,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,16,6,1,1,6,16,0,147.119104599813,,,,,,147.10203419998288,,,,2,147.1191338999197,1276748.7847002,147.119104599813,,149.08937869989313,149.154280499788,149.17348619992845,3,149.17350639984943,1276750.8390714,150.34153069998138,150.34157119994052,150.35727869998664,5,150.35730139981024,1276752.0228669,154.09853389998898,154.09857059991919,154.1162733999081,6,154.116295899963,1276755.7818605,156.10098509979434,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,17,7,1,1,7,17,1,156.1181428998243,,,,,,156.10112529993057,,,,2,156.11816969979554,1276757.7837349,156.1181428998243,,158.0880869999528,158.13717139977962,158.15604329993948,3,158.15606449986808,1276759.8216292,159.34150539990515,159.34155849996023,159.3573387998622,5,159.3573705998715,1276761.0229388,163.10051479982212,163.100554500008,163.11457569990307,6,163.1145962998271,1276764.7801607,165.10169209982269,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,18,8,1,1,8,18,7,165.11788389994763,,,,,,165.1018312999513,,,,2,165.11791769997217,1276766.7834837,165.11788389994763,,167.08824489987455,167.14221209986135,167.1557526998222,4,167.15577349998057,1276768.8213386,168.34084309986793,168.3408984998241,168.35738820000552,5,168.35742749995552,1276770.0229987,172.0980432999786,172.09808969986625,172.11399629991502,6,172.11404999997467,1276773.7796151,174.10117239993997,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,19,9,1,1,9,19,3,174.11740909982473,,,,,,174.10129789984785,,,,2,174.1174407999497,1276775.7830067,174.11740909982473,,176.08880679984577,176.14968159981072,176.15539449988864,3,176.15541669982485,1276777.820982,177.340654599946,177.3406922998838,177.35662899981253,5,177.35665039997548,1276779.0222155,181.09934580000117,181.09938389994204,181.11536329984665,6,181.1153843998909,1276782.780949,183.1005856997799,,,,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.1006726999767,183.10073209996335,,,,365765,001,2026-05-27_21h19.35.273,Graz,,2025.1.1,59.835846329147714,2026-05-27 21h19.41.219255 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,183.11741009983234,1276784.7829746,,,,,,,,,
