img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.06447879999996076,0.06453999999985172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192177,001,2026-05-07_13h09.05.493,Graz,,2025.1.1,59.9899456850931,2026-05-07 13h09.16.146802 -0300,
,,,,,,,,,,,,,0.0645649000002777,0.06459900000027119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192177,001,2026-05-07_13h09.05.493,Graz,,2025.1.1,59.9899456850931,2026-05-07 13h09.16.146802 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,0,0,0,0,0,0,4,0.08586500000001251,,,,,,0.06946930000003704,1,0.08589459999984683,3179.9456499,2,0.08594859999993787,3179.945698,3.0688610000001972,5.103473499999836,5.05227240000022,5.094301300000097,5.103473499999836,3,5.103496499999892,3184.963248,6.318940399999974,6.318972000000031,6.33549210000001,5,6.335513699999865,3186.1952658,10.069027000000006,10.069062099999883,10.085617000000184,6,10.085636100000102,3189.9453878,12.069058999999925,192177,001,2026-05-07_13h09.05.493,Graz,,2025.1.1,59.9899456850931,2026-05-07 13h09.16.146802 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,1,1,0,0,1,1,9,12.085681099999874,,,,,,12.06916769999998,,,,2,12.08570439999994,3191.9454562,12.085681099999874,,14.069002499999897,14.10719680000011,14.120136999999886,4,14.12015509999992,3193.9799063,15.319080600000234,15.319115000000238,15.335683300000255,5,15.335703000000194,3195.195454,19.069126100000176,19.069157400000222,19.085675300000275,6,19.085692200000267,3198.9454433,21.069141299999956,192177,001,2026-05-07_13h09.05.493,Graz,,2025.1.1,59.9899456850931,2026-05-07 13h09.16.146802 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,2,2,0,0,2,2,8,21.08569209999996,,,,,,21.0692468000002,,,,2,21.085715100000016,3200.9454656,21.08569209999996,,23.069292399999995,23.10746670000026,23.12080079999987,4,23.120818299999883,3202.9805702,24.319389799999954,24.319422099999883,24.335886299999856,5,24.335903300000155,3204.1956541,28.069471199999953,28.06950259999985,28.085988100000122,6,28.086006300000008,3207.9457576,30.069608400000106,192177,001,2026-05-07_13h09.05.493,Graz,,2025.1.1,59.9899456850931,2026-05-07 13h09.16.146802 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,3,3,0,0,3,3,2,30.086180400000103,,,,,,30.069709899999907,,,,2,30.086209500000223,3209.9459626,30.086180400000103,,32.06971909999993,32.10674030000018,32.12102240000013,3,32.121040399999856,3211.9807919,33.31945880000012,33.3194911999999,33.33597850000024,5,33.335996799999975,3213.1957484,37.06964610000023,37.06967930000019,37.086333600000216,6,37.086351599999944,3216.9461026,39.06965900000023,192177,001,2026-05-07_13h09.05.493,Graz,,2025.1.1,59.9899456850931,2026-05-07 13h09.16.146802 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,4,4,0,0,4,4,0,39.085959699999876,,,,,,39.069779200000085,,,,2,39.08598250000023,3218.9457342,39.085959699999876,,41.0696782,41.10710109999991,41.12116530000003,3,41.121183700000074,3220.9809352,42.319755800000166,42.31978909999998,42.33635069999991,5,42.336369000000104,3222.1961205,46.069801200000256,46.06983309999987,46.087482100000216,6,46.087502100000165,3225.9472539,48.069839499999944,192177,001,2026-05-07_13h09.05.493,Graz,,2025.1.1,59.9899456850931,2026-05-07 13h09.16.146802 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,5,5,0,0,5,5,7,48.08661260000008,,,,,,48.0699454999999,,,,2,48.086638799999946,3227.9463907,48.08661260000008,,50.0698225000001,50.108376600000156,50.121183400000064,4,50.12120189999996,3229.9809536,51.31990189999988,51.319934600000124,51.33637369999997,5,51.336390400000255,3231.1961411,55.070001200000206,55.070036600000094,55.08657910000011,6,55.08659799999987,3234.9463499,57.07004910000023,192177,001,2026-05-07_13h09.05.493,Graz,,2025.1.1,59.9899456850931,2026-05-07 13h09.16.146802 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,6,6,0,0,6,6,5,57.08665680000013,,,,,,57.07015270000011,,,,2,57.08668190000026,3236.9464341,57.08665680000013,,59.07009259999995,59.11539790000006,59.12107130000004,4,59.12108840000019,3238.98084,60.32007879999992,60.32011160000002,60.33658379999997,5,60.33660099999997,3240.1963518,64.07020069999999,64.07023350000009,64.08678790000022,6,64.08680910000021,3243.9465622,66.07020719999991,192177,001,2026-05-07_13h09.05.493,Graz,,2025.1.1,59.9899456850931,2026-05-07 13h09.16.146802 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,7,7,0,0,7,7,6,66.08673720000024,,,,,,66.07031140000026,,,,2,66.0867618000002,3245.9465129,66.08673720000024,,68.07029250000005,68.10815180000009,68.12173119999989,4,68.12174959999993,3247.9815008,69.32036490000019,69.32039900000018,69.33689760000016,5,69.33691520000002,3249.1966666,73.0703911999999,73.0704224000001,73.08697419999999,6,73.08699239999987,3252.9467433,75.07038199999988,192177,001,2026-05-07_13h09.05.493,Graz,,2025.1.1,59.9899456850931,2026-05-07 13h09.16.146802 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,8,8,0,0,8,8,3,75.08693489999996,,,,,,75.07049480000023,,,,2,75.08695739999985,3254.9467087,75.08693489999996,,77.0705238999999,77.10755100000006,77.12196600000016,3,77.12198470000021,3256.9817363,78.32042649999994,78.32045830000015,78.33699190000016,5,78.33700799999997,3258.1967591,82.07060460000002,82.07063560000006,82.08718210000006,6,82.08720059999996,3261.9469523,84.07054280000011,192177,001,2026-05-07_13h09.05.493,Graz,,2025.1.1,59.9899456850931,2026-05-07 13h09.16.146802 -0300,
