img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.08523150003748015,0.08530370000516996,,,,,,,,,,,,,441483,001,2025-10-16_16h59.08.526,Graz,,2025.1.1,None,2025-10-16 16h59.15.596185 -0300,
,,,,,,,,,,,,,0.0853367000236176,0.085373800015077,,,,,,,,,,,441483,001,2025-10-16_16h59.08.526,Graz,,2025.1.1,None,2025-10-16 16h59.15.596185 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,0,0,0,0,0,0,9,0.0993599999928847,,,,,,0.09269990003667772,1,0.09938500000862405,346463.2639643,2,0.0994347000378184,346463.2640101,3.086644300026819,,5.0747131000389345,,,,,,,,,
