img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,image_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.06957449999936216,0.06964129999869328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020341,001,2025-09-02_17h22.57.361,Graz,,2025.1.1,59.992932832171455,2025-09-02 17h23.00.427197 -0300,
,,,,,,,,,,,,,0.06966769999962708,0.0697039999995468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020341,001,2025-09-02_17h22.57.361,Graz,,2025.1.1,59.992932832171455,2025-09-02 17h23.00.427197 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,0,0,0,0,0,0,7,0.08241999999881955,,,,,,0.0738485000001674,1,0.08243570000013278,8223.7876935,2,0.0824741999986145,8223.787729,5.08114679999926,7.1157348999986425,7.066268499998841,7.111467400000038,7.1157348999986425,4,7.1157597999990685,8230.8210172,8.332966099998885,8.332993500000157,8.34778600000027,5,8.347800100000313,8232.0530564,12.081482100000358,12.081514599998627,12.09947639999882,6,12.099495799999204,8235.8047533,14.08141330000035,,020341,001,2025-09-02_17h22.57.361,Graz,,2025.1.1,59.992932832171455,2025-09-02 17h23.00.427197 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,1,1,0,0,1,1,0,14.09963659999994,,,,,,14.081524699999136,,,,2,14.099662200000239,8237.8049199,14.09963659999994,,16.08158579999872,16.12299499999972,16.132546400000138,3,16.132572799999252,8239.837832,17.33315439999933,17.333186599998953,17.348293600000034,5,17.348311899999317,8241.0535688,21.082067199999074,21.08210390000022,21.098982599998635,6,21.09899949999999,8244.8042562,23.071208499999557,,020341,001,2025-09-02_17h22.57.361,Graz,,2025.1.1,59.992932832171455,2025-09-02 17h23.00.427197 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,2,2,0,0,2,2,9,23.08175080000001,,,,,,23.071325400000205,,,,2,23.081777699999293,8246.7870358,23.08175080000001,25.11743479999859,25.069358799999463,25.10387459999947,25.11743479999859,4,25.11746099999982,8248.8227188,26.337873899999977,26.337905799999135,26.348937299999307,5,26.34895890000007,8250.0542166,30.082016000000294,30.082046999999875,30.102587600000334,6,30.102605199999743,8253.8078625,32.07398219999959,,020341,001,2025-09-02_17h22.57.361,Graz,,2025.1.1,59.992932832171455,2025-09-02 17h23.00.427197 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,3,3,0,0,3,3,1,32.0830277999994,,,,,,32.074124499999016,,,,2,32.08306470000025,8255.7883252,32.0830277999994,34.11679809999987,34.066206299999976,34.096203299999615,34.11679809999987,3,34.116818700000294,8257.8220751,35.3331804999998,35.33321139999862,35.348573600000236,5,35.34859139999935,8259.0538489,39.082025699999576,39.08205749999979,39.10186710000016,6,39.1018881,8262.8071456,41.070088999998916,,020341,001,2025-09-02_17h22.57.361,Graz,,2025.1.1,59.992932832171455,2025-09-02 17h23.00.427197 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,4,4,0,0,4,4,8,41.08209919999899,,,,,,41.07019760000003,,,,2,41.08212889999959,8264.7873867,41.08209919999899,43.11818149999999,43.06930899999861,43.1066383999987,43.11818149999999,4,43.118220700000165,8266.8234806,44.337591299999985,44.3376219999991,44.348834099999294,5,44.34885810000014,8268.054115,48.07469449999917,48.07473190000019,48.08239599999979,6,48.08241629999975,8271.7876742,50.06720189999942,50.08314849999988,020341,001,2025-09-02_17h22.57.361,Graz,,2025.1.1,59.992932832171455,2025-09-02 17h23.00.427197 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,5,5,0,0,5,5,5,50.08314849999988,,,,,,50.067349199998716,,,,2,50.083176999998614,8273.7884342,50.08314849999988,,52.07874830000037,52.12506529999882,52.14643309999883,4,52.146461099999215,8275.8517208,53.333267899999555,53.33330399999977,53.34957419999955,5,53.3495927999993,8277.0548493,57.083122699999876,57.08315539999967,57.10269419999895,6,57.10271439999997,8280.8079713,,,,,,,,,,,
