img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,Rest.stopped,REST_code,REST_tGlob,REST_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.06495709996670485,0.06501660007052124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-08-28_11h32.04.475,Graz,,2025.1.1,60.07694657957798,2025-08-28 11h33.08.914004 -0300,
,,,,,,,,,,,,,0.0650448000524193,0.06508029997348785,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-08-28_11h32.04.475,Graz,,2025.1.1,60.07694657957798,2025-08-28 11h33.08.914004 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,0,0,0,0,0,0,4,0.09084309986792505,,,,,,0.06946479994803667,1,0.09087709989398718,1219997.8932693,2,0.09095979994162917,1219997.8933486,5.080810300074518,7.070548600051552,7.12383019994013,7.1368460999801755,3,7.136864600004628,1220004.9392515,8.322175099980086,8.322205699980259,8.336331400088966,5,8.336347300093621,1220006.1387337,12.079807600006461,12.079846099950373,12.079895399976522,,,,pilot,001,2025-08-28_11h32.04.475,Graz,,2025.1.1,60.07694657957798,2025-08-28 11h33.08.914004 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,1,1,0,0,1,1,1,12.093773700064048,,,,,,12.07999929995276,,,,2,12.09383159992285,1220009.8962159,12.093773700064048,,,,,,,,,,,,,,,,6,12.093791200080886,1220009.8961788,,,,,,,,,
