img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,Rest.stopped,REST_code,REST_tGlob,REST_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.08427909994497895,0.08435659995302558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429158,001,2025-08-28_17h43.57.865,Graz,,2025.1.1,59.852284551783654,2025-08-28 17h44.06.560049 -0300,
,,,,,,,,,,,,,0.08441180014051497,0.08444839995354414,,,,,,,,,,,,,,,,,,,,,,,,,,,,429158,001,2025-08-28_17h43.57.865,Graz,,2025.1.1,59.852284551783654,2025-08-28 17h44.06.560049 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,0,0,0,0,0,0,8,0.09100070013664663,,,,,,0.08909779996611178,1,0.09101700014434755,1242255.519236,2,0.09106000000610948,1242255.5192762,5.0926070001441985,7.12923840014264,7.079007100081071,7.124607800040394,7.12923840014264,4,7.129269600147381,1242262.5574896,8.348325900034979,8.348374400055036,8.364859299967065,5,8.364886299939826,1242263.7931067,12.088059900095686,12.088104600086808,12.088172600138932,,,,429158,001,2025-08-28_17h43.57.865,Graz,,2025.1.1,59.852284551783654,2025-08-28 17h44.06.560049 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,1,1,0,0,1,1,9,12.108000800013542,,,,,,12.088297000154853,,,,2,12.108150300104171,1242267.5363862,12.108000800013542,,14.091698199976236,14.134157200111076,14.138133500004187,4,14.138157200068235,1242269.5663767,15.344225300010294,15.34428000007756,15.36694600014016,5,15.367007600143552,1242270.7952339,19.10117550007999,19.101224800106138,19.10130830015987,6,12.108039200073108,1242267.5362624,429158,001,2025-08-28_17h43.57.865,Graz,,2025.1.1,59.852284551783654,2025-08-28 17h44.06.560049 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,2,2,0,0,2,2,7,19.117551499977708,,,,,,19.101467299973592,,,,2,19.117626999970526,1242274.5458433,19.117551499977708,,21.10452580009587,21.141312800114974,21.14524059998803,4,21.145255600102246,1242276.5734742,22.356827900046483,22.356865599984303,22.373389299958944,5,22.3734125001356,1242277.8016319,26.11405870015733,26.114106100052595,26.11418900010176,6,19.117573600029573,1242274.5457927,429158,001,2025-08-28_17h43.57.865,Graz,,2025.1.1,59.852284551783654,2025-08-28 17h44.06.560049 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,3,3,0,0,3,3,0,26.131059600040317,,,,,,26.114474900066853,,,,2,26.131303700152785,1242281.5595393,26.131059600040317,,28.11740450002253,28.154406300047413,28.15840440010652,3,28.158427000045776,1242283.5866459,29.369876899989322,29.369930600048974,29.38615499995649,5,29.386180800152943,1242284.8144015,33.12645810004324,33.12650110013783,33.126569299958646,6,26.131124899955466,1242281.5593567,429158,001,2025-08-28_17h43.57.865,Graz,,2025.1.1,59.852284551783654,2025-08-28 17h44.06.560049 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,4,4,0,0,4,4,2,33.144013799959794,,,,,,33.12669249996543,,,,2,33.14408540003933,1242288.5723018,33.144013799959794,,35.13015380012803,35.16674709995277,35.17066770000383,3,35.17070459993556,1242290.598926,36.38278740015812,36.38284009997733,36.39940520003438,5,36.399431800004095,1242291.8276514,40.1392033000011,40.13924319995567,40.139307300094515,6,33.14403560012579,1242288.5722545,429158,001,2025-08-28_17h43.57.865,Graz,,2025.1.1,59.852284551783654,2025-08-28 17h44.06.560049 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,5,5,0,0,5,5,3,40.155755599960685,,,,,,40.13942450005561,,,,2,40.15582969994284,1242295.584046,40.155755599960685,,42.14289600006305,42.180125300073996,42.18407279998064,3,42.18408809998073,1242297.6123071,43.39553000009619,43.39557770011015,43.41202010004781,5,43.412047900026664,1242298.8402681,47.152073699980974,47.15211530006491,47.15217959997244,6,40.15577860013582,1242295.5839979,429158,001,2025-08-28_17h43.57.865,Graz,,2025.1.1,59.852284551783654,2025-08-28 17h44.06.560049 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,6,6,0,0,6,6,4,47.16860570013523,,,,,,47.15229540015571,,,,2,47.16871040011756,1242302.5969284,47.16860570013523,,49.15574870002456,49.194919400149956,49.19884950015694,3,49.1988832000643,1242304.6271057,50.4082959999796,50.40834640013054,50.42471079993993,5,50.42473700013943,1242305.8529574,54.16488560009748,54.164939400041476,54.16503000003286,6,47.168634600006044,1242302.5968559,429158,001,2025-08-28_17h43.57.865,Graz,,2025.1.1,59.852284551783654,2025-08-28 17h44.06.560049 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,7,7,0,0,7,7,5,54.18143570004031,,,,,,54.16519710002467,,,,2,54.18150970013812,1242309.6097263,54.18143570004031,,56.16988590010442,56.208678000140935,56.21258069993928,4,56.2126027001068,1242311.6408231,57.42116710008122,57.421234800014645,57.43902610009536,5,57.43904890003614,1242312.8672678,61.177685800008476,61.17772360006347,61.17778509994969,6,54.181458899984136,1242309.6096777,429158,001,2025-08-28_17h43.57.865,Graz,,2025.1.1,59.852284551783654,2025-08-28 17h44.06.560049 -0300,
