img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,8,8,0,0,8,8,9,75.11817819997668,,,,,,75.10164110001642,,,,2,75.11820109991822,612555.3037986,75.11817819997668,,77.10155879997183,77.13912419998087,77.15271569998004,4,77.15273370000068,612557.3383309,78.35166399995796,78.35169799998403,78.3682065999601,5,78.36822399997618,612558.5538217,82.1016902999254,82.10172349994536,82.11831149994396,6,82.11832809995394,612562.3039254,84.10169329994824,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,9,9,0,0,9,9,0,84.11831389996223,,,,,,84.10180099995341,,,,2,84.11833680002019,612564.3039339,84.11831389996223,,86.10175229993183,86.13778869993985,86.1527920999797,3,86.15281030000187,612566.3384081,87.35183950001374,87.35187210002914,87.36840239993762,5,87.36842009995598,612567.5540173,91.10201089992188,91.10205510002561,91.11850630003028,6,91.11853019997943,612571.3041287,93.10187359992415,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,10,0,1,1,0,10,8,93.11845559999347,,,,,,93.10197770001832,,,,2,93.1184792999411,612573.3040769,93.11845559999347,,95.10188490001019,95.13950109994039,95.15312529995572,4,95.15314299997408,612575.3387405,96.35199649992865,96.352028699941,96.36853229999542,5,96.36854930000845,612576.5541466,100.1020043999888,100.10203559999354,100.11859440000262,6,100.11861170001794,612580.304209,102.1020586999366,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,11,1,1,1,1,11,7,102.11868610000238,,,,,,102.10216110001784,,,,2,102.11870849994011,612582.3043062,102.11868610000238,,104.10214939992875,104.13907499995548,104.15314359997865,4,104.1531621000031,612584.33876,105.3521735999966,105.3522070000181,105.36870039999485,5,105.3687176000094,612585.5543147,109.10222360002808,109.10225649992935,109.11880049994215,6,109.11881739995442,612589.3044149,111.10226529999636,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,12,2,1,1,2,12,2,111.11882179998793,,,,,,111.10237560002133,,,,2,111.11884519993328,612591.3044427,111.11882179998793,,113.10232449998148,113.13836929993704,113.15333899995312,3,113.15335579996463,612593.3389534,114.35235629999079,114.35239170002751,114.36889939999674,5,114.36891610000748,612594.5545128,118.10236539994366,118.10239829996135,118.11894099996425,6,118.11895829997957,612598.3045581,120.10247029992752,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,13,3,1,1,3,13,3,120.1195074999705,,,,,,120.10258800000884,,,,2,120.11953899997752,612600.3051384,120.1195074999705,,122.10246159997769,122.1384340999648,122.15351329999976,3,122.15353140002117,612602.3391293,123.35248679993674,123.35251989995595,123.36909359996207,5,123.36911099997815,612603.5547085,127.10288829996716,127.10291989997495,127.11944599996787,6,127.11946229997557,612607.3050602,129.10293679998722,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,14,4,1,1,4,14,0,129.11949449998792,,,,,,129.10303889994975,,,,2,129.1195172999287,612609.3051151,129.11949449998792,,131.10260470001958,131.13935940002557,131.15435550000984,3,131.15437389991712,612611.3399719,132.35267309995834,132.35270559997298,132.3692608999554,5,132.369278499973,612612.5548762,136.102724700002,136.10275740001816,136.11934919992927,6,136.1193666999461,612616.3049639,138.10274869995192,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,15,5,1,1,5,15,1,138.11934490001295,,,,,,138.10285239992663,,,,2,138.11936729995068,612618.3049647,138.11934490001295,,140.10280400002375,140.13861849997193,140.15398970001843,3,140.15400899993256,612620.3396068,141.35292229999322,141.35295789991505,141.36942669993732,5,141.36944569996558,612621.5550435,145.10293799999636,145.10297090001404,145.1194898999529,6,145.11950689996593,612625.3051041,147.10294829995837,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,16,6,1,1,6,16,4,147.1195516999578,,,,,,147.1030547999544,,,,2,147.11957470001653,612627.3051724,147.1195516999578,,149.10302029992454,149.1397794999648,149.1541762999259,3,149.1541930999374,612629.3397907,150.3530679999385,150.353099299944,150.36956559994724,5,150.3695824999595,612630.5551795,154.10303479991853,154.10306649992708,154.11969109997153,6,154.1197082999861,612634.3053058,156.10308409994468,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,17,7,1,1,7,17,5,156.11966470000334,,,,,,156.1031865000259,,,,2,156.11968839995097,612636.3052856,156.11966470000334,,158.10315640002955,158.13992169999983,158.15429099998437,4,158.1543079999974,612638.3399055,159.35318520001601,159.3532160000177,159.36979849997442,5,159.36981569998898,612639.5554127,163.1032485999167,163.10327850002795,163.11984609998763,6,163.1198629999999,612643.3054604,165.1035779999802,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,18,8,1,1,8,18,6,165.12020589993335,,,,,,165.1036882000044,,,,2,165.12023230001796,612645.3058301,165.12020589993335,,167.1033008999657,167.1405879999511,167.1544001000002,4,167.1544185000239,612647.340016,168.35341089998838,168.35345439997036,168.3699066999834,5,168.36992359999567,612648.5555209,172.10341640003026,172.10344879992772,172.12000739993528,6,172.12002479995135,612652.3056221,174.10347339999862,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,19,9,1,1,9,19,9,174.1200207999209,,,,,,174.10357419995125,,,,2,174.12004349997733,612654.3056404,174.1200207999209,,176.1035045000026,176.14042279997375,176.15454170003068,4,176.15456019993871,612656.3401579,177.35353700001724,177.35356910002884,177.37013779999688,5,177.37015490001068,612657.5557526,181.10358999995515,181.10362389998045,181.12015769991558,6,181.12017459992785,612661.3057718,183.1037261999445,,,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.10379620001186,183.10384350002278,,,,133115,001,2026-06-22_16h07.47.082,Graz,,2025.1.1,60.01741704731023,2026-06-22 16h07.52.031054 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,183.12013860000297,612663.305738,,,,,,,,,
