img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attempt.stopped,image_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,8,8,0,0,8,8,9,75.08566629997222,,,,,,75.0756155999843,,,,2,75.08570809999947,522279.09155,75.08566629997222,77.11858150002081,77.06902230001288,77.11288819997571,77.11858150002081,4,77.1186073999852,522281.1244458,78.3359075000044,78.33603980002226,78.35135569999693,5,78.3513796000043,522282.3572197,82.08572319999803,82.08576739998534,82.1017210999853,6,82.10174900002312,522286.1075888,84.08621059998404,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,9,9,0,0,9,9,5,84.10188630002085,,,,,,84.0863731999998,,,,2,84.10192119999556,522288.1077612,84.10188630002085,,86.0857374999905,86.13279290002538,86.15851699997438,4,86.15853800001787,522290.164376,87.33590319997165,87.33594879996963,87.35261800000444,5,87.35264479997568,522291.3584855,91.08527579996735,91.0853255999973,91.10274469997967,6,91.10277190001216,522295.1086124,93.08570389996748,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,10,0,1,1,0,10,7,93.10469399997965,,,,,,93.0859123999835,,,,2,93.10474089998752,522297.1105833,93.10469399997965,,95.11113009997644,95.16664389998186,95.190230600012,4,95.1902606000076,522299.1961018,96.33864979998907,96.3387006999692,96.35183250001865,5,96.35185779997846,522300.3576971,100.08584179996978,100.08589019998908,100.10417080001207,6,100.10419440001715,522304.1100352,102.0863868999877,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,11,1,1,1,1,11,2,102.10184760001721,,,,,,102.08653109997977,,,,2,102.10188139998354,522306.1077216,102.10184760001721,,104.08571710000979,104.12721299997065,104.13938419998158,3,104.13941459998023,522308.1452549,105.33527009998215,105.33531749999383,105.35255090001738,5,105.35257649997948,522309.3584163,109.08568660001038,109.08575019997079,109.10208209999837,6,109.10210750001715,522313.107947,111.0868653000216,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,12,2,1,1,2,12,0,111.10214859998086,,,,,,111.08704730001045,,,,2,111.10217420000117,522315.1080128,111.10214859998086,,113.08595889998833,113.12767590000294,113.13583029998699,3,113.1358484000084,522317.1416863,114.33586019999348,114.33591849997174,114.35198849998415,5,114.35200660000555,522318.3578447,118.0867542999913,118.08680489996914,118.10382090002531,6,118.1038446999737,522322.109685,120.0876125000068,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,13,3,1,1,3,13,8,120.10232060000999,,,,,,120.08779879997019,,,,2,120.10235830000602,522324.1081987,120.10232060000999,,122.08656239998527,122.12433710001642,122.13699440000346,4,122.1370141999796,522326.1428522,123.34020989999408,123.3402660000138,123.35265559999971,5,123.35267689998727,522327.3585151,127.08574539999245,127.08579089998966,127.1030048999819,6,127.10303070000373,522331.1088697,129.08614510000916,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,14,4,1,1,4,14,4,129.10311209998326,,,,,,129.0862992000184,,,,2,129.10314159997506,522333.1089817,129.10311209998326,,131.08678179996787,131.13462450000225,131.15401599998586,3,131.1540503000142,522335.1598919,132.33683300000848,132.33688359998632,132.35303549998207,5,132.35306039999705,522336.3589007,136.08733509999,136.0873760000104,136.10483839997323,6,136.10486189997755,522340.1107008,138.08748799999012,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,15,5,1,1,5,15,6,138.10421479999786,,,,,,138.08765419997508,,,,2,138.10424269997748,522342.1100812,138.10421479999786,,140.0862797999871,140.1254105999833,140.13825279998127,4,140.1382815000252,522344.1441215,141.33792600000743,141.33797449996928,141.35697049996816,5,141.3569959999877,522345.3628352,145.0879772999906,145.0880214999779,145.1101604999858,6,145.11019819998182,522349.116042,147.0901559999911,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,16,6,1,1,6,16,5,147.1030463000061,,,,,,147.0902788999956,,,,2,147.10307249997277,522351.108911,147.1030463000061,,149.08633590000682,149.12811890000012,149.1357153999852,4,149.13573749997886,522353.1415763,150.33673779998207,150.33677069999976,150.35340339998947,5,150.35342260001926,522354.3592604,154.08672899997327,154.08680260000983,154.1035781999817,6,154.10360159998527,522358.1094414,156.08661469997605,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,17,7,1,1,7,17,9,156.10328129999107,,,,,,156.08677519997582,,,,2,156.10331659996882,522360.1091596,156.10328129999107,,158.08618939999724,158.12623870000243,158.13650859997142,4,158.13653119996889,522362.1423713,159.33692149998387,159.33697609999217,159.35240999999223,5,159.35243169998284,522363.3582698,163.0858753999928,163.08591690001776,163.10356820002198,6,163.10359339998104,522367.1094331,165.08738470001845,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
