img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.0871085999533534,0.08717690000776201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
,,,,,,,,,,,,,0.08720830001402646,0.08724350004922599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,0,0,0,0,0,0,0,0.09801139996852726,,,,,,0.09202420001383871,1,0.0980316000059247,665752.6093051,2,0.09807459998410195,665752.6093446,3.086305300006643,5.126352600054815,5.074201600044034,5.1174691000487655,5.126352600054815,3,5.126373599981889,665757.6376464,6.3420114000327885,6.342045899946243,6.358754400047474,5,6.358775799977593,665758.8700493,10.092936099972576,10.092997699975967,10.126931500039063,6,10.126960000023246,665762.6382346,12.102369999978691,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,1,1,0,0,1,1,6,12.118725199950859,,,,,,12.102498000022024,,,,2,12.118750700028613,665764.6300239,12.118725199950859,,14.08874769997783,14.125849499949254,14.140518400003202,4,14.140537500032224,665766.6518103,15.341574999969453,15.341611900017597,15.35898979997728,5,15.359011000022292,665767.8702838,19.098100499948487,19.0981366999913,19.114975100033917,6,19.11498950002715,665771.626262,21.102371599990875,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,2,2,0,0,2,2,9,21.11905029998161,,,,,,21.102514100028202,,,,2,21.119079899974167,665773.6303544,21.11905029998161,,23.089076400035992,23.127834200044163,23.13987640000414,4,23.1398967000423,665775.6511696,24.343889500014484,24.343934100004844,24.361031000036746,5,24.361050299950875,665776.8723233,28.099673700053245,28.099710699985735,28.116291800048202,6,28.116311999969184,665780.6275853,30.102606900036335,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,3,3,0,0,3,3,7,30.119431599974632,,,,,,30.10275039996486,,,,2,30.119462799979374,665782.6307372,30.119431599974632,,32.08941719995346,32.12609539995901,32.1397456000559,4,32.13976769999135,665784.651041,33.3419701999519,33.34200740000233,33.358417400042526,5,33.35843819996808,665785.869711,37.0993178000208,37.09936290001497,37.11566959996708,6,37.11569590005092,665789.6269707,39.102496100007556,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,4,4,0,0,4,4,8,39.11918979999609,,,,,,39.102637400035746,,,,2,39.11921859998256,665791.6304924,39.11918979999609,,41.08896730002016,41.125451100058854,41.1395517999772,4,41.13957010000013,665793.6508428,42.34109670005273,42.34113519999664,42.35768610006198,5,42.35770579997916,665794.8689786,46.09874609997496,46.09878360002767,46.11465090001002,6,46.1146701000398,665798.6259434,48.10192779998761,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,5,5,0,0,5,5,1,48.118600800051354,,,,,,48.102052700007334,,,,2,48.11862339999061,665800.6298974,48.118600800051354,,50.08872650004923,50.12483290000819,50.140157300047576,3,50.14019449998159,665802.6514745,51.34209379996173,51.342130700009875,51.36139219999313,5,51.36141370004043,665803.8726871,55.10330800001975,55.10334689996671,55.1179791999748,6,55.118000000016764,665807.6292732,57.10971200000495,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,6,6,0,0,6,6,3,57.135490800021216,,,,,,57.109853200032376,,,,2,57.13552719994914,665809.6468015,57.135490800021216,,59.08962840004824,59.12730699998792,59.16714979999233,3,59.16717739996966,665811.6784513,60.34884810005315,60.348889100016095,60.374347100034356,5,60.37436859996524,665812.8856421,64.10267559997737,64.1027176999487,64.12829659995623,6,64.12832320004236,665816.639599,66.10788290004712,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,7,7,0,0,7,7,2,66.13340689998586,,,,,,66.10804900003131,,,,2,66.13344270002563,665818.6447167,66.13340689998586,,68.1007113000378,68.14085470000282,68.17756950005423,3,68.17760070005897,665820.6888764,69.36032330000307,69.36036910000257,69.38704900001176,5,69.38708580005914,665821.8983665,73.10315189999528,73.10319149994757,73.1301214999985,6,73.13015380001161,665825.6414301,75.09684699994978,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,8,8,0,0,8,8,5,75.12365970003884,,,,,,75.09699989994988,,,,2,75.12368990003597,665827.6349636,75.12365970003884,,77.11368389998097,77.15744400001131,77.19453340000473,4,77.1945613999851,665829.7058357,78.36126799997874,78.3613420999609,78.38807970006019,5,78.38810600002762,665830.8993805,82.0913379000267,82.09137769998051,82.11818610003684,6,82.11821119999513,665834.629485,84.09206679998897,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,9,9,0,0,9,9,4,84.11706840002444,,,,,,84.09238990000449,,,,2,84.11709860002156,665836.6283727,84.11706840002444,,86.10422079998534,86.14090260001831,86.18129510001745,3,86.18132079998031,665838.692596,87.35636840004008,87.35640589997638,87.38165190001018,5,87.3816758999601,665839.8929493,91.09668069996405,91.09671920002438,91.1131889000535,6,91.1132056999486,665843.6244789,93.10041539999656,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,10,0,1,1,0,10,3,93.11692259996198,,,,,,93.10054580005817,,,,2,93.11695980001241,665845.6282328,93.11692259996198,,95.11216929997317,95.14829859999008,95.18910419999156,3,95.18913049995899,665847.7004043,96.35389459994622,96.35393590002786,96.37990419997368,5,96.37993669998832,665848.8912139,100.08890109998174,100.0889425999485,100.10552850004751,6,100.10555470001418,665852.6168291,102.0915679000318,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,11,1,1,1,1,11,5,102.11753309995402,,,,,,102.09177169995382,,,,2,102.11756299994886,665854.628837,102.11753309995402,,104.10391049995087,104.14231769996695,104.15532909997273,4,104.15535420004744,665856.6666283,105.34179600002244,105.34183569997549,105.36867200001143,5,105.36870160000399,665857.8799758,109.09668099996634,109.09672130004037,109.11264029995073,6,109.11266280000564,665861.623936,111.10291390004568,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,12,2,1,1,2,12,0,111.13070470001549,,,,,,111.10304930002894,,,,2,111.13073430000804,665863.6420084,111.13070470001549,,113.10367950005457,113.1403404000448,113.15456840000115,3,113.15458990004845,665865.6658628,114.33905760000926,114.33910490002017,114.35559040005319,5,114.35561620001681,665866.8668909,118.10516000003554,118.10520240000915,118.13099019997753,6,118.1310273000272,665870.6423013,120.09905159997288,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,13,3,1,1,3,13,9,120.11614519997966,,,,,,120.09917830000632,,,,2,120.11617239995394,665872.6274458,120.11614519997966,,122.10269830003381,122.13934330001939,122.15413529996295,4,122.1541564000072,665874.6654291,123.34007539995946,123.34011540003121,123.3926969000604,5,123.39272320002783,665875.9039973,127.08795369998552,127.08798990002833,127.11407959996723,6,127.11411319999024,665879.6253917,129.10868820000906,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,14,4,1,1,4,14,6,129.13506899995264,,,,,,129.10882009996567,,,,2,129.13509969995357,665881.6463733,129.13506899995264,,131.11018019996118,131.14920560002793,131.16467379999813,4,131.16469220002182,665883.6759652,132.35383060004096,132.3538811999606,132.37978550000116,5,132.37980959995184,665884.8910833,136.10984920000192,136.10989019996487,136.1385622000089,6,136.13858559995424,665888.6498593,138.11078079999425,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,15,5,1,1,5,15,7,138.13796049996745,,,,,,138.11093550000805,,,,2,138.1379905999638,665890.6492643,138.13796049996745,,140.10199810005724,140.14009000000078,140.15741500002332,4,140.1574321000371,665892.668705,141.3581401000265,141.35817869997118,141.38530710001942,5,141.38532979995944,665893.8966033,145.09309039998334,145.09312760003377,145.12047319998965,6,145.12052879994735,665897.6318126,147.10770549997687,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,16,6,1,1,6,16,4,147.13490800000727,,,,,,147.10783110000193,,,,2,147.13494360004552,665899.6462196,147.13490800000727,,149.10253320005722,149.13908019999508,149.18409909994807,3,149.18412300001364,665901.6953967,150.3394694000017,150.3395077000605,150.3575700999936,5,150.35759180004243,665902.8688648,154.13730830000713,154.13734550005756,154.164270499954,6,154.1642925000051,665906.6755659,156.13316890003625,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,17,7,1,1,7,17,8,156.15782399999443,,,,,,156.13330169999972,,,,2,156.15785309998319,665908.6691267,156.15782399999443,,158.09406759997364,158.13259239995386,158.17928529996425,4,158.1793082000222,665910.6905815,159.33770290005486,159.33774180000182,159.39092529995833,5,159.39095040003303,665911.9022243,163.1086199999554,163.10865900001954,163.13572340004612,6,163.135744899977,665915.6470183,165.0938931000419,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,18,8,1,1,8,18,1,165.12102189997677,,,,,,165.09401949995663,,,,2,165.12105199997313,665917.6323258,165.12102189997677,,167.10884420003276,167.14686660002917,167.16923839994706,3,167.16926220001187,665919.6805358,168.35807810002007,168.35811849997845,168.38524229999166,5,168.38526540005114,665920.8965385,172.13076109997928,172.13080210005865,172.15811419999227,6,172.15816290001385,665924.6694456,174.09115510003176,402856,001,2025-11-27_20h53.29.188,Graz,,2025.1.1,59.961564623628234,2025-11-27 20h53.47.271253 -0300,
