img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,attempt.stopped,Attempt.stopped,Rest.started,Rest.stopped,REST_code,REST_tGlob,REST_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.08691600000020117,0.08698320000257809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697377,001,2025-09-01_15h39.33.168,Graz,,2025.1.1,37.252980144633916,2025-09-01 15h39.36.821782 -0300,
,,,,,,,,,,,,,0.08701310001197271,0.08705260000715498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697377,001,2025-09-01_15h39.33.168,Graz,,2025.1.1,37.252980144633916,2025-09-01 15h39.36.821782 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,0,0,0,0,0,0,0,0.1112217000045348,,,,,,0.09173670000745915,1,0.11123710000538267,74672.4762488,2,0.11127839999971911,74672.4762878,5.081814600009238,7.164249599998584,7.086621599999489,7.14629010000499,7.164249599998584,3,7.164276200011955,74679.5292889,8.342813299997943,8.34285159999854,8.345482700009597,5,8.345495400004438,74680.7105065,12.084092800010694,12.081438000008347,12.081466600007843,12.081499699997948,,,,697377,001,2025-09-01_15h39.33.168,Graz,,2025.1.1,37.252980144633916,2025-09-01 15h39.36.821782 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,1,1,0,0,1,1,4,12.084092800010694,,,,,,12.081605500003207,,,,2,12.08418440000969,74684.4491958,12.084092800010694,,14.094447100011166,14.132451800003764,14.147151600001962,3,14.147174700003234,74686.5121864,15.337637700009509,15.337675300004776,15.364447700005258,5,15.364471100008814,74687.7294828,,19.100005400003283,19.10004530000151,19.10010239999974,6,12.084127699999954,74684.4491411,697377,001,2025-09-01_15h39.33.168,Graz,,2025.1.1,37.252980144633916,2025-09-01 15h39.36.821782 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,2,2,0,0,2,2,6,19.12638169999991,,,,,,19.100224900001194,,,,2,19.126470200004405,74691.4914797,19.12638169999991,,21.11321950001002,21.150649800008978,21.17493839999952,4,21.174959700001637,74693.5399722,22.365944600009243,22.365988400008064,22.39297980000265,5,22.39300570001069,74694.7580176,,26.11288080000668,26.112918400001945,26.11297510001168,6,19.12640839999949,74691.4914225,697377,001,2025-09-01_15h39.33.168,Graz,,2025.1.1,37.252980144633916,2025-09-01 15h39.36.821782 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,3,3,0,0,3,3,9,26.14083319999918,,,,,,26.11308260000078,,,,2,26.140904700005194,74698.505914,26.14083319999918,,28.11570660000143,28.15418850000424,28.16848010000831,4,28.168495800011442,74700.5335068,29.363695300009567,29.36373340000864,29.366829700011294,5,29.36691760001122,74701.731937,,33.12001020000025,33.12004880000313,33.12010860000737,6,26.14085480000358,74698.505867,697377,001,2025-09-01_15h39.33.168,Graz,,2025.1.1,37.252980144633916,2025-09-01 15h39.36.821782 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,4,4,0,0,4,4,1,33.147183000008226,,,,,,33.12021839999943,,,,2,33.14725680000265,74705.5122659,33.147183000008226,,35.14475279999897,35.18251510000846,35.19886720000068,3,35.19888780001202,74707.5639001,36.41124640000635,36.41128660000686,36.41370940000343,5,36.41373549999844,74708.7787486,,40.13905379999778,40.13910690000921,40.139192600006936,6,33.14720640001178,74705.5122187,697377,001,2025-09-01_15h39.33.168,Graz,,2025.1.1,37.252980144633916,2025-09-01 15h39.36.821782 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,5,5,0,0,5,5,3,40.165514100008295,,,,,,40.13936090000789,,,,2,40.16559109999798,74712.5306004,40.165514100008295,,42.16380350000691,42.20154860000184,42.244891800000914,3,42.244916399999056,74714.6099284,43.391829900007,43.39186850000988,43.394423300007475,5,43.39443770000071,74715.7594493,,47.153794700003345,47.15383350000775,47.15389450000657,6,40.16553750001185,74712.5305522,697377,001,2025-09-01_15h39.33.168,Graz,,2025.1.1,37.252980144633916,2025-09-01 15h39.36.821782 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,6,6,0,0,6,6,2,47.179338600006304,,,,,,47.154016300002695,,,,2,47.17942080000648,74719.5444305,47.179338600006304,,49.206913000001805,49.24455110001145,49.25274520000676,3,49.25276020000456,74721.6177714,50.41896039999847,50.418999300003634,50.44343930001196,5,50.443464299998595,74722.8084766,,54.191689700004645,54.19173740000406,54.19181670001126,6,47.17936420001206,74719.5443778,697377,001,2025-09-01_15h39.33.168,Graz,,2025.1.1,37.252980144633916,2025-09-01 15h39.36.821782 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,7,7,0,0,7,7,5,54.30562740001187,,,,,,54.19196500000544,,,,2,54.30570090000401,74726.6707101,54.30562740001187,,56.19221210000978,56.23397300000943,56.36428970000998,4,56.36431370000355,74728.7293258,57.44847010000376,57.44850930001121,57.4999009000021,5,57.49992880001082,74729.864941,,61.240058200011845,61.24009710000246,61.240153100006864,6,54.30565059999935,74726.670663,697377,001,2025-09-01_15h39.33.168,Graz,,2025.1.1,37.252980144633916,2025-09-01 15h39.36.821782 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,8,8,0,0,8,8,8,61.26790730000357,,,,,,61.240261500002816,,,,2,61.267980200005695,74733.63299,61.26790730000357,,63.25634240001091,63.2999994999991,63.418219600003795,4,63.41824460000498,74735.783257,64.51829449999786,64.51833390000684,64.54764889999933,5,64.54767189999984,74736.9126837,,68.28674950001005,68.28678600001149,68.28684359999897,6,61.26793070000713,74733.6329433,697377,001,2025-09-01_15h39.33.168,Graz,,2025.1.1,37.252980144633916,2025-09-01 15h39.36.821782 -0300,
