img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,Rest.stopped,REST_code,REST_tGlob,REST_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,15,5,1,1,5,15,2,110.28762420010753,,,,,,110.27131480001844,,,,2,110.2877434999682,1236962.4719039,110.28762420010753,,112.2775120001752,112.31655610003509,112.32048530015163,3,112.32049890002236,1236964.5046478,113.52664809999987,113.52669470012188,113.54316310002469,5,113.54319029999897,1236965.7273417,117.28382960008457,117.28387730009854,117.28395660012029,6,110.28765000007115,1236962.4717998,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,16,6,1,1,6,16,5,117.30044730007648,,,,,,117.284114100039,,,,2,117.30055909999646,1236969.4847096,117.30044730007648,,119.28713609999977,119.3279685000889,119.33182780002244,4,119.3318458001595,1236971.5159943,120.53964480012655,120.53969210013747,120.5568016001489,5,120.55683430004865,1236972.7409849,124.29675920004956,124.29680910008028,124.29688929999247,6,117.30047330004163,1236969.4846246,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,17,7,1,1,7,17,1,124.31289970013313,,,,,,124.29702450009063,,,,2,124.31298080016859,1236976.4971278,124.31289970013313,,126.30141489999369,126.34494350012392,126.34887500014156,3,126.34889340004884,1236978.5330425,127.55236740014516,127.55240290006623,127.56898840004578,5,127.5690127001144,1236979.7531624,131.30984390014783,131.30995140015148,131.31013590004295,6,124.31292139994912,1236976.4970702,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,18,8,1,1,8,18,0,131.3260366001632,,,,,,131.310508799972,,,,2,131.3262072999496,1236983.51036,131.3260366001632,,133.31326199998148,133.35195360006765,133.35689159994945,3,133.3569742999971,1236985.5411377,134.56546250008978,134.56550860009156,134.5818002000451,5,134.5818274000194,1236986.765978,138.32361209997907,138.3236867999658,138.32378350012004,6,131.32608350017108,1236983.5102388,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,19,9,1,1,9,19,9,138.338482900057,,,,,,138.323912500171,,,,2,138.3386029000394,1236990.5227542,138.338482900057,,140.32581830001436,140.36252900003456,140.36640290007927,4,140.36641669995151,1236992.5505655,141.5782910999842,141.57834570016712,141.59442560002208,5,141.59444999997504,1236993.7785986,145.33490790007636,145.33494830015115,145.33501060004346,6,138.33851120015606,1236990.5226614,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,20,0,2,2,0,20,5,145.35134990001097,,,,,,145.33512470009737,,,,2,145.35143609996885,1236997.5355835,145.35134990001097,,147.3383820001036,147.37822029995732,147.38214230001904,4,147.38215700001456,1236999.5663055,148.59067680011503,148.59072700003162,148.60715429997072,5,148.60717700002715,1237000.7913267,152.34876990015619,152.34888670011424,152.34906559996307,6,145.35137240006588,1236997.5355219,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,21,1,2,2,1,21,7,152.36482860008255,,,,,,152.34943130007014,,,,2,152.36509150010534,1237004.5492577,152.36482860008255,,154.3522101000417,154.4123215000145,154.41624419996515,4,154.4162586000748,1237006.6004074,155.6038727001287,155.6039366000332,155.62051960011013,5,155.62055830005556,1237007.8047129,159.36028350004926,159.36032119998708,159.36038760002702,6,152.36488889995962,1237004.5490513,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,22,2,2,2,2,22,3,159.37687130016275,,,,,,159.36049850005656,,,,2,159.37695250008255,1237011.561099,159.37687130016275,,161.3642717001494,161.40168879996054,161.40560070006177,3,161.40562970004976,1237013.5897794,162.6161666000262,162.61620349995792,162.63297070004046,5,162.63299840013497,1237014.8171491,166.3731015000958,166.37313730013557,166.37319610011764,6,159.376893900102,1237011.5610432,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,23,3,2,2,3,23,1,166.3896840000525,,,,,,166.37330340011977,,,,2,166.38977250014432,1237018.5739189,166.3896840000525,,168.3766348999925,168.41427940013818,168.4182523000054,3,168.41827450017445,1237020.6024244,169.62935760011896,169.62941120006144,169.64591019996442,5,169.64593750005588,1237021.8300881,173.38674190011807,173.386808300158,173.38687729998492,6,166.38970840000547,1237018.5738584,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,24,4,2,2,4,24,6,173.40262900013477,,,,,,173.38699140003882,,,,2,173.40275140013546,1237025.5869037,173.40262900013477,,175.38991899997927,175.42997950012796,175.43391400016844,4,175.43392800004221,1237027.6180768,176.64219130016863,176.64224630012177,176.65869279997423,5,176.65871900017373,1237028.8428695,180.3987193000503,180.39875970012508,180.3988296999596,6,173.40265830000862,1237025.5868101,166993,001,2025-08-28_16h13.27.018,Graz,,2025.1.1,60.11002541657366,2025-08-28 16h14.03.318977 -0300,
