img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,image_2.stopped,attempt.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,8,8,0,0,8,8,0,75.10653260000981,,,,,,75.08947989996523,,,,2,75.10655260004569,609571.945919,75.10653260000981,,77.08943789999466,77.12607030000072,77.14147949998733,3,77.14149359997828,609573.9808606,78.33987429994158,78.33990539994556,78.35638639994431,5,78.35639970004559,609575.1957664,82.08954189997166,82.08957169996575,82.10613770002965,6,82.10615070001222,609578.9455172,84.0896083000116,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,9,9,0,0,9,9,2,84.10675659996923,,,,,,84.08971239998937,,,,2,84.1067774000112,609580.946144,84.10675659996923,,86.08962320000865,86.1259440999711,86.14168300002348,3,86.14169800002128,609582.9810649,87.33968279999681,87.33971690002363,87.35625369998161,5,87.35626699996646,609584.1956335,91.08971970004495,91.08974910003599,91.10631469998043,6,91.10632839996833,609587.9456955,93.09024900000077,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,10,0,1,1,0,10,4,93.10678819997702,,,,,,93.09035529999528,,,,2,93.10680680000223,609589.9461735,93.10678819997702,,95.09013539995067,95.12653100001626,95.1417427000124,3,95.14175660000183,609591.9811234,96.34021049994044,96.34024179994594,96.35679069999605,5,96.35680449998472,609593.1961707,100.09024569997564,100.0902765999781,100.10686699999496,6,100.10688169999048,609596.9462492,102.09053030004725,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,11,1,1,1,1,11,2,102.10707060003188,,,,,,102.0906383000547,,,,2,102.10709529998712,609598.9464632,102.10707060003188,,104.0903999999864,104.12694660003763,104.141840999946,3,104.14185579994228,609600.981223,105.34037510002963,105.34040550002828,105.35699100000784,5,105.35700509999879,609602.1963714,109.0747392999474,109.07476949994452,109.0913692000322,6,109.09138730005361,609605.9307557,111.07409899996128,111.09066790004726,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,12,2,1,1,2,12,1,111.09066790004726,,,,,,111.07420779997483,,,,2,111.0906947000185,609607.9300627,111.09066790004726,113.12574090005364,113.07413419999648,113.11112240003422,113.12574090005364,3,113.12578919995576,609609.9651616,114.32499949994963,114.32503109995741,114.3406973000383,5,114.34071470005438,609611.1800823,118.07378630002495,118.07381039997563,118.09087670000736,6,118.09089800005313,609614.9302654,120.0738251999719,120.09036639996339,118.09087670000736,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,13,3,1,1,3,13,3,120.09036639996339,,,,,,120.07391719997395,,,,2,120.09038619999774,609616.9297529,120.09036639996339,122.12590420001652,122.07402800000273,122.11031839996576,122.12590420001652,3,122.1259264999535,609618.9652942,123.34054879995529,123.34057969995774,123.35709970002063,5,123.35711480001919,609620.1964816,127.09057670005132,127.09060590004083,127.10737630003132,6,127.10739180003293,609623.9467594,129.074540099944,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,14,4,1,1,4,14,5,129.09084610000718,,,,,,129.07463940000162,,,,2,129.0908647000324,609625.9302313,129.09084610000718,,131.0745631000027,131.11147630005144,131.12591910001356,4,131.12593620002735,609627.9653033,132.34133570000995,132.34137090004515,132.3578625000082,5,132.35788050002884,609629.1972478,136.07441370002925,136.07444300001953,136.0910303000128,6,136.09104349999689,609632.9304099,138.0747415999649,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,15,5,1,1,5,15,9,138.0910184000386,,,,,,138.07484500005376,,,,2,138.09103839995805,609634.9304052,138.0910184000386,,140.0744859999977,140.11155479995068,140.12606369995046,4,140.12608029996045,609636.9654478,141.3242268000031,141.3242586000124,141.3407937999582,5,141.3408074999461,609638.1801743,145.07426859997213,145.0742994999746,145.09148189995904,6,145.0914969999576,609641.9308642,147.07467630004976,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,16,6,1,1,6,16,6,147.09123809996527,,,,,,147.07477980002295,,,,2,147.09125840000343,609643.9306256,147.09123809996527,,149.07464420003816,149.11172779998742,149.12622330000158,4,149.12623960000928,609645.9656067,150.32467919995543,150.32471069996245,150.34095590002835,5,150.34097060002387,609647.1803371,154.0747520000441,154.07478160003666,154.09138180001173,6,154.09139940002933,609650.9307678,156.0748239000095,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,17,7,1,1,7,17,7,156.091442200006,,,,,,156.0749352000421,,,,2,156.09146230004262,609652.9308299,156.091442200006,,158.07488299999386,158.11186219996307,158.12643609999213,4,158.12645280000288,609654.9658199,159.32461759995203,159.32464929996058,159.34118590003345,5,159.34120200003963,609656.1805695,163.07495090004522,163.07498210004997,163.09152450005058,6,163.09153960004915,609659.9309068,165.07501040003262,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,18,8,1,1,8,18,8,165.09157499996945,,,,,,165.07511069998145,,,,2,165.0915953000076,609661.9309633,165.09157499996945,,167.0750570000382,167.11243039998226,167.1265737999929,4,167.12659020000137,609663.9659578,168.32475569995586,168.32478659995832,168.34132260002661,5,168.34133620001376,609665.1807026,172.07511620002333,172.0751476000296,172.0917027000105,6,172.0917169000022,609668.9310834,174.0751662000548,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,19,9,1,1,9,19,0,174.09176770003978,,,,,,174.0752666000044,,,,2,174.09178779996,609670.9311544,174.09176770003978,,176.0752308999654,176.11132310004905,176.1267261999892,3,176.12674239999615,609672.9661092,177.325271800044,177.32530340005178,177.34181889996398,5,177.34183419996407,609674.1812012,181.07496030000038,181.074990299996,181.09158430004027,6,181.09159980004188,609677.9309667,183.07500589999836,,,,,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.07507609995082,183.07511770003475,,,,034531,001,2026-06-22_15h17.42.938,Graz,,2025.1.1,60.160833965551596,2026-06-22 15h18.08.667255 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,183.09144959994592,609679.9308161,,,,,,,,,
