img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attempt.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.0691019999794662,0.06918660004157573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788573,001,2025-09-08_17h28.58.730,Graz,,2025.1.1,59.998871998647864,2025-09-08 17h29.01.556378 -0300,
,,,,,,,,,,,,,0.06922960001975298,0.06929739995393902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788573,001,2025-09-08_17h28.58.730,Graz,,2025.1.1,59.998871998647864,2025-09-08 17h29.01.556378 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,0,0,0,0,0,0,0,0.08227250003255904,,,,,,0.07582829997409135,1,0.08229609997943044,526987.4118515,2,0.0823515000520274,526987.411902,3.08050230005756,5.115072199958377,5.064447800046764,5.10272399999667,5.115072199958377,3,5.115091799991205,526992.4446427,6.330915400059894,6.330943400040269,6.347520399955101,5,6.347534000058658,526993.6770848,10.081096500041895,10.081125800032169,10.09762639994733,6,10.097641499945894,526997.4271919,12.081074599991553,,788573,001,2025-09-08_17h28.58.730,Graz,,2025.1.1,59.998871998647864,2025-09-08 17h29.01.556378 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,1,1,0,0,1,1,1,12.097599699976854,,,,,,12.08118049998302,,,,2,12.097620000015013,526999.4271717,12.097599699976854,,14.081074999994598,14.112006100011058,14.115021500037983,3,14.11503200000152,527001.4445825,15.331168100005016,15.331199700012803,15.34816219995264,5,15.348178399959579,527002.6777289,19.08118520001881,19.081215400015935,19.097770299995318,6,19.0977837999817,527006.4273343,21.081249900045805,,788573,001,2025-09-08_17h28.58.730,Graz,,2025.1.1,59.998871998647864,2025-09-08 17h29.01.556378 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,2,2,0,0,2,2,2,21.097872499958612,,,,,,21.0813494999893,,,,2,21.09789269999601,527008.4274442,21.097872499958612,,23.08118610002566,23.112560900044627,23.13243200001307,3,23.132447500014678,527010.461999,24.331512499949895,24.33154599997215,24.348025999963284,5,24.348043899983168,527011.6775956,28.08137180004269,28.08140819997061,28.097998399985954,6,28.098012799979188,527015.4275634,30.081848999951035,,788573,001,2025-09-08_17h28.58.730,Graz,,2025.1.1,59.998871998647864,2025-09-08 17h29.01.556378 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,3,3,0,0,3,3,8,30.098024599952623,,,,,,30.0819508000277,,,,2,30.09804690000601,527017.4275985,30.098024599952623,,32.08141980005894,32.1131779999705,32.13210229994729,4,32.13211829995271,527019.4616692,33.331462700036354,33.33149679994676,33.34803540003486,5,33.34804960002657,527020.6776002,37.08187190000899,37.081905300030485,37.09866300004069,6,37.09868339996319,527024.4282353,39.08158979995642,,788573,001,2025-09-08_17h28.58.730,Graz,,2025.1.1,59.998871998647864,2025-09-08 17h29.01.556378 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,4,4,0,0,4,4,4,39.09821650001686,,,,,,39.08169150003232,,,,2,39.09824429999571,527026.4277974,39.09821650001686,,41.08202710002661,41.11254979996011,41.11557260004338,3,41.11558540002443,527028.4451368,42.33169200003613,42.331722800037824,42.34824129997287,5,42.34825689997524,527029.6778084,46.08220269996673,46.082236299989745,46.098291100002825,6,46.09830439998768,527033.4278549,48.0816992999753,,788573,001,2025-09-08_17h28.58.730,Graz,,2025.1.1,59.998871998647864,2025-09-08 17h29.01.556378 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,5,5,0,0,5,5,9,48.09827790001873,,,,,,48.081803799956106,,,,2,48.09830029995646,527035.4278526,48.09827790001873,,50.08184300002176,50.114003099966794,50.132423399947584,4,50.13243820006028,527037.4619893,51.331784300040454,51.33181560004596,51.3483732000459,5,51.34838760003913,527038.6779383,55.08184200001415,55.08187130000442,55.09842319996096,6,55.098435900057666,527042.4279865,57.08187929994892,,788573,001,2025-09-08_17h28.58.730,Graz,,2025.1.1,59.998871998647864,2025-09-08 17h29.01.556378 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,6,6,0,0,6,6,7,57.09841159998905,,,,,,57.08197860000655,,,,2,57.09842870000284,527044.4279797,57.09841159998905,,59.081896699965,59.11349340004381,59.13252400001511,4,59.13253679999616,527046.4620875,60.33191589999478,60.33194659999572,60.34872200002428,5,60.348738400032744,527047.6782894,64.08198679995257,64.08201610005926,64.09860589995515,6,64.09862189996056,527051.4281733,66.08205700002145,,788573,001,2025-09-08_17h28.58.730,Graz,,2025.1.1,59.998871998647864,2025-09-08 17h29.01.556378 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,7,7,0,0,7,7,5,66.0986393999774,,,,,,66.08216019999236,,,,2,66.09866200003307,527053.4282142,66.0986393999774,,68.0820248000091,68.11355520004872,68.1327335999813,4,68.13274619996082,527055.4622972,69.33255140006077,69.33258229994681,69.34869210002944,5,69.34870510001201,527056.6782556,73.08223790000193,73.08226679998916,73.0988085999852,6,73.09882259997539,527060.4283732,75.0823451000033,,788573,001,2025-09-08_17h28.58.730,Graz,,2025.1.1,59.998871998647864,2025-09-08 17h29.01.556378 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,8,8,0,0,8,8,6,75.09879670001101,,,,,,75.08244939998258,,,,2,75.09881500003394,527062.4283659,75.09879670001101,,77.08275010006037,77.11418519995641,77.13290099997539,4,77.13291639997624,527064.4624682,78.33234199997969,78.33237349998672,78.34885339997709,5,78.34886729996651,527065.6784195,82.08236570004374,82.08239510003477,82.09900819999166,6,82.09902460000012,527069.4285756,84.08291390002705,,788573,001,2025-09-08_17h28.58.730,Graz,,2025.1.1,59.998871998647864,2025-09-08 17h29.01.556378 -0300,
