img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,image_2.stopped,attempt.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.061838599969632924,0.06190780003089458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225412,001,2026-06-22_14h38.53.130,Graz,,2025.1.1,59.953691778791814,2026-06-22 14h40.17.073764 -0300,
,,,,,,,,,,,,,0.06193429999984801,0.06197170005179942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225412,001,2026-06-22_14h38.53.130,Graz,,2025.1.1,59.953691778791814,2026-06-22 14h40.17.073764 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,0,0,0,0,0,0,4,0.0768207999644801,,,,,,0.06634689995553344,1,0.07683749997522682,607225.3342101,2,0.07687430002260953,607225.3342441,3.0754661000100896,5.14292040001601,5.059367300011218,5.129990300047211,5.14292040001601,3,5.14294150006026,607230.4003135,6.3284629000118,6.328493200009689,6.3451733000110835,5,6.345192600041628,607231.6025655,10.065385499969125,10.065419399994425,10.080846400000155,6,10.0808644000208,607235.3382367,12.077154300059192,,,,,,,,225412,001,2026-06-22_14h38.53.130,Graz,,2025.1.1,59.953691778791814,2026-06-22 14h40.17.073764 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,1,1,0,0,1,1,6,12.093056899961084,,,,,,12.077258700039238,,,,2,12.093079300015233,607237.3504519,12.093056899961084,,14.076423799968325,14.121523200068623,14.127937200013548,4,14.127956000040285,607239.3853289,15.327978300047107,15.328010900062509,15.344153400044888,5,15.344170700060204,607240.6015426,19.076570600038394,19.07660200004466,19.093737600021996,6,19.09375490003731,607244.3511272,21.07701290003024,,,,,,,,225412,001,2026-06-22_14h38.53.130,Graz,,2025.1.1,59.953691778791814,2026-06-22 14h40.17.073764 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,2,2,0,0,2,2,0,21.09360929997638,,,,,,21.07712549995631,,,,2,21.093632300035097,607246.3510049,21.09360929997638,,23.07652650005184,23.113565300009213,23.128024099976756,3,23.128042900003493,607248.3854155,24.32815690001007,24.328190400032327,24.344629500061274,5,24.344646899960935,607249.602019,28.077234699972905,28.07726829999592,28.093370800022967,6,28.09338730003219,607253.350759,30.07709120004438,,,,,,,,225412,001,2026-06-22_14h38.53.130,Graz,,2025.1.1,59.953691778791814,2026-06-22 14h40.17.073764 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,3,3,0,0,3,3,2,30.09460469998885,,,,,,30.077245200052857,,,,2,30.094629800063558,607255.352003,30.09460469998885,,32.07750610006042,32.11448360001668,32.12971330003347,3,32.129731800057925,607257.3871047,33.327659900067374,33.327693399973214,33.344597100047395,5,33.34461500006728,607258.6019876,37.062651599990204,37.062703200033866,37.07751019997522,6,37.07753400004003,607262.3349083,39.06191539997235,39.077450999990106,,,,,,,225412,001,2026-06-22_14h38.53.130,Graz,,2025.1.1,59.953691778791814,2026-06-22 14h40.17.073764 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,4,4,0,0,4,4,3,39.077450999990106,,,,,,39.06201029999647,,,,2,39.077489700051956,607264.334864,39.077450999990106,41.113773999968544,41.06100940005854,41.098495200043544,41.113773999968544,3,41.11379960004706,607266.3711732,42.32998509996105,42.330016499967314,42.34621700004209,5,42.34623709996231,607267.6036098,46.078651100047864,46.078684599953704,46.094262100057676,6,46.09428540000226,607271.3516584,48.07777039997745,,,,,,,,225412,001,2026-06-22_14h38.53.130,Graz,,2025.1.1,59.953691778791814,2026-06-22 14h40.17.073764 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,5,5,0,0,5,5,5,48.09433670004364,,,,,,48.07788730005268,,,,2,48.09436920005828,607273.3517444,48.09433670004364,,50.062358999974094,50.105704799992964,50.11312790005468,4,50.11314869998023,607275.3705213,51.32791500003077,51.32794870005455,51.3458193000406,5,51.34583730006125,607276.6032097,55.07779450004455,55.07782650005538,55.09435689996462,6,55.09437499998603,607280.3517474,57.07785410003271,,,,,,,,225412,001,2026-06-22_14h38.53.130,Graz,,2025.1.1,59.953691778791814,2026-06-22 14h40.17.073764 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,6,6,0,0,6,6,1,57.09523310000077,,,,,,57.07795479998458,,,,2,57.09525640006177,607282.3526291,57.09523310000077,,59.06199519999791,59.09977880003862,59.11349849996623,3,59.11351830000058,607284.3708913,60.31291960005183,60.31296789995395,60.32947320002131,5,60.32949809997808,607285.5868718,64.07798790000379,64.07802330004051,64.09454800002277,6,64.09456790005788,607289.3519406,66.06237980001606,,,,,,,,225412,001,2026-06-22_14h38.53.130,Graz,,2025.1.1,59.953691778791814,2026-06-22 14h40.17.073764 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,7,7,0,0,7,7,9,66.07871699996758,,,,,,66.06248580000829,,,,2,66.07874110003468,607291.336113,66.07871699996758,68.11379980004858,68.06144840002526,68.10068749997299,68.11379980004858,4,68.11382339999545,607293.371196,69.31344389996957,69.31347559997812,69.32980109995697,5,69.32981969998218,607294.5871917,73.06241730006877,73.06244809995405,73.07967420003843,6,73.07969449996017,607298.3370669,75.07869310001843,,,,,,,,225412,001,2026-06-22_14h38.53.130,Graz,,2025.1.1,59.953691778791814,2026-06-22 14h40.17.073764 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,8,8,0,0,8,8,7,75.09495469997637,,,,,,75.07879709999543,,,,2,75.09497990005184,607300.3523524,75.09495469997637,,77.06209520006087,77.09964440006297,77.11304490000475,4,77.11307540000416,607302.37045,78.32832390000112,78.32835740002338,78.3453690999886,5,78.34539090003818,607303.6027637,82.07835720002186,82.07839010003954,82.09494189999532,6,82.0949619000312,607307.3523346,84.07826800004113,,,,,,,,225412,001,2026-06-22_14h38.53.130,Graz,,2025.1.1,59.953691778791814,2026-06-22 14h40.17.073764 -0300,
