img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.07496059988625348,0.07502529979683459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543252,001,2025-12-03_18h33.28.983,Graz,,2025.1.1,61.599264737545916,2025-12-03 18h33.32.849839 -0300,
,,,,,,,,,,,,,0.07505449978634715,0.07508939993567765,,,,,,,,,,,,,,,,,,,,,,,,,,,,543252,001,2025-12-03_18h33.28.983,Graz,,2025.1.1,61.599264737545916,2025-12-03 18h33.32.849839 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,0,0,0,0,0,0,1,0.09265639982186258,,,,,,0.07977369986474514,1,0.09268009988591075,1175759.6569448,2,0.0927303999196738,1175759.6569911,3.0917086999397725,5.087977499933913,5.142418899806216,5.157126099802554,3,5.157146799843758,1175764.7214097,6.338560099946335,6.3385995998978615,6.3547394999768585,5,6.354762299917638,1175765.9190259,10.090234299888834,10.090271399822086,10.10501699987799,6,10.10503779980354,1175769.6693007,12.091194199863821,543252,001,2025-12-03_18h33.28.983,Graz,,2025.1.1,61.599264737545916,2025-12-03 18h33.32.849839 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,1,1,0,0,1,1,9,12.104135099798441,,,,,,12.091592499986291,,,,2,12.104163399897516,1175771.6684266,12.104135099798441,14.092058299807832,14.139589299913496,14.15726719982922,4,14.157288999995217,1175773.7215519,15.338320499984547,15.338362799957395,15.355983599787578,5,15.356003199936822,1175774.9202657,19.088448599912226,19.08848539995961,19.104526599869132,6,19.10454799979925,1175778.6688107,21.091895999852568,543252,001,2025-12-03_18h33.28.983,Graz,,2025.1.1,61.599264737545916,2025-12-03 18h33.32.849839 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,2,2,0,0,2,2,6,21.10608599986881,,,,,,21.092245699837804,,,,2,21.10611439985223,1175780.670378,21.10608599986881,23.088878999929875,23.138839199906215,23.155412399908528,4,23.155436699977145,1175782.7197002,24.339440199779347,24.339479099959135,24.357296699890867,5,24.357318999944255,1175783.921582,28.08925269986503,28.08928949991241,28.107157999882475,6,28.107177999801934,1175787.6714408,30.089446499943733,543252,001,2025-12-03_18h33.28.983,Graz,,2025.1.1,61.599264737545916,2025-12-03 18h33.32.849839 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,3,3,0,0,3,3,3,30.10784859978594,,,,,,30.089570099953562,,,,2,30.10794849996455,1175789.6722283,30.10784859978594,32.08698559994809,32.13168879994191,32.13910279981792,3,32.13912609987892,1175791.7033897,33.33700689999387,33.337046899832785,33.357158799888566,5,33.35718319984153,1175792.9214468,37.088847499806434,37.08888439997099,37.10389229981229,6,37.1039147998672,1175796.6681782,39.08873949991539,543252,001,2025-12-03_18h33.28.983,Graz,,2025.1.1,61.599264737545916,2025-12-03 18h33.32.849839 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,4,4,0,0,4,4,8,39.1052314999979,,,,,,39.08886529994197,,,,2,39.105259499978274,1175798.6695223,39.1052314999979,41.088830299908295,41.133796899812296,41.15782909980044,4,41.157852799864486,1175800.7221165,42.33882289985195,42.33886149991304,42.35473979986273,5,42.35476119979285,1175801.919024,46.08890390000306,46.08894309983589,46.1061946998816,6,46.106217299820855,1175805.6704809,48.09063289989717,543252,001,2025-12-03_18h33.28.983,Graz,,2025.1.1,61.599264737545916,2025-12-03 18h33.32.849839 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,5,5,0,0,5,5,0,48.10359239997342,,,,,,48.090756499907,,,,2,48.103633999824524,1175807.6678996,48.10359239997342,50.08638719981536,50.132573899812996,50.15605239989236,3,50.15617209998891,1175809.7204557,51.33892509993166,51.338964299997315,51.35539189982228,5,51.355414299992844,1175810.9196776,55.09152609994635,55.09163299994543,55.105980299878865,6,55.106000299798325,1175814.6702634,57.08793799998239,543252,001,2025-12-03_18h33.28.983,Graz,,2025.1.1,61.599264737545916,2025-12-03 18h33.32.849839 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,6,6,0,0,6,6,4,57.10227239993401,,,,,,57.08806149987504,,,,2,57.10229939990677,1175816.666562,57.10227239993401,59.08787069981918,59.130875299917534,59.137003999901935,3,59.13702809996903,1175818.7012917,60.33743689977564,60.337473899824545,60.354195799911395,5,60.3542161998339,1175819.918479,64.08929059980437,64.08933079987764,64.10859039984643,6,64.10868949978612,1175823.6729667,66.08741749986075,543252,001,2025-12-03_18h33.28.983,Graz,,2025.1.1,61.599264737545916,2025-12-03 18h33.32.849839 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,7,7,0,0,7,7,7,66.10533529985696,,,,,,66.08754289988428,,,,2,66.1054086999502,1175825.6696831,66.10533529985696,68.08787069981918,68.13649669988081,68.15263199992478,4,68.1526562999934,1175827.7169201,69.34006599988788,69.34010699996725,69.35461249994114,5,69.35463449987583,1175828.9188979,73.08719739993103,73.08723439997993,73.1011810998898,6,73.10120059992187,1175832.665464,75.08766869991086,543252,001,2025-12-03_18h33.28.983,Graz,,2025.1.1,61.599264737545916,2025-12-03 18h33.32.849839 -0300,
