img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,8,8,0,0,8,8,2,75.10889840009622,,,,,,75.09247999999207,,,,2,75.10893220000435,955031.69478,75.10889840009622,77.0912660000613,77.13606610009447,77.14247030008119,3,77.14248959999532,955033.7283358,78.34122539998498,78.34128130006138,78.35763670003507,5,78.35766189999413,955034.9435087,82.09106510004494,82.09110060008243,82.10765220003668,6,82.10767310007941,955038.6935194,84.09128270007204,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,9,9,0,0,9,9,3,84.10854300006758,,,,,,84.09148160007317,,,,2,84.10858860006556,955040.6944396,84.10854300006758,86.09146930009592,86.1683610000182,86.1761184000643,3,86.17615050007589,955042.7619991,87.34146140003577,87.34152530005667,87.35867390001658,5,87.35869980009738,955043.9445477,91.0983921000734,91.09848300006706,91.1129646000918,6,91.11300920008216,955047.6988636,93.09060940006748,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,10,0,1,1,0,10,4,93.10669700009748,,,,,,93.09077270003036,,,,2,93.106727699982,955049.6925745,93.10669700009748,95.09170750004705,95.18294010008685,95.19160460005514,3,95.19165160006378,955051.7775025,96.34145230008289,96.34151669999119,96.35768240003381,5,96.35771440004464,955052.9435628,100.09087180008646,100.09094680007547,100.10826030001044,6,100.10830720001832,955056.6941613,102.09009940002579,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,11,1,1,1,1,11,0,102.10682850005105,,,,,,102.09027889999561,,,,2,102.10686000005808,955058.692707,102.10682850005105,104.09035439998843,104.1487277999986,104.15859650005586,3,104.15863269998226,955060.7444822,105.34034650004469,105.34041930001695,105.3569249000866,5,105.35695240006316,955061.9427998,109.09004500007723,109.09008600004017,109.1065139999846,6,109.1065386000555,955065.6923858,111.09047240007203,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,12,2,1,1,2,12,1,111.10700730001554,,,,,,111.09073729999363,,,,2,111.10706569999456,955067.6929186,111.10700730001554,113.0905523999827,113.13965390005615,113.15694850008003,3,113.15698460000567,955069.7428353,114.34345799998846,114.34365729999263,114.35627099999692,5,114.35629260004498,955070.9421384,118.08977449999657,118.08984050003346,118.106455000001,6,118.10648429999128,955074.6923314,120.0925596000161,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,13,3,1,1,3,13,9,120.10771600005683,,,,,,120.09277470002417,,,,2,120.10774690005928,955076.693594,120.10771600005683,122.08638810005505,122.15192600002047,122.15683980006725,4,122.1568728000857,955078.742723,123.3426890000701,123.34279280004557,123.35902329999954,5,123.35907940007746,955079.9449357,127.08928519999608,127.08932410005946,127.10567620000802,6,127.10569700004999,955083.6915423,129.08912540005986,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,14,4,1,1,4,14,3,129.10618900007103,,,,,,129.08927230001427,,,,2,129.10622050007805,955085.6920698,129.10618900007103,131.08873090008274,131.1323000000557,131.1401601000689,3,131.14018119999673,955087.7260277,132.34345150005538,132.34349120000843,132.35739620006643,5,132.3574185000034,955088.943265,136.08890309999697,136.0889411000535,136.104855600046,6,136.10487879998982,955092.6907247,138.0881531999912,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,15,5,1,1,5,15,2,138.10514320002403,,,,,,138.0883010000689,,,,2,138.10517090000212,955094.6910173,138.10514320002403,140.09165630000643,140.13929840002675,140.1580805000849,3,140.1581051000394,955096.7439515,141.34032070008107,141.34035870002117,141.3562069000909,5,141.35622770001646,955097.9420737,145.08976960007567,145.08980580000207,145.10615040000994,6,145.10617340006866,955101.6920202,147.08760700002313,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,16,6,1,1,6,16,5,147.10422880004626,,,,,,147.0877357000718,,,,2,147.10425800003577,955103.6901041,147.10422880004626,149.0880345000187,149.13410310004838,149.13927749998402,4,149.13929950003512,955105.7251465,150.33860050002113,150.33864710002672,150.35500740003772,5,150.3550306999823,955106.9408764,154.08717770001385,154.08721580007114,154.10451390000526,6,154.104553900077,955110.6904051,156.08749870001338,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,17,7,1,1,7,17,8,156.10416800004896,,,,,,156.08763030008413,,,,2,156.10419570002705,955112.6900422,156.10416800004896,158.08733680006117,158.13322319998406,158.13873030000832,4,158.13875190005638,955114.7245984,159.33991580002476,159.33995789999608,159.3552028000122,5,159.35522360005416,955115.9410696,163.08727920008823,163.0873217000626,163.10447220003698,6,163.10450620006304,955119.6903562,165.08644570002798,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,18,8,1,1,8,18,6,165.10310420009773,,,,,,165.08656860003248,,,,2,165.10313160007354,955121.688978,165.10310420009773,167.08727140002884,167.13260280003306,167.13747860002331,4,167.1374999000691,955123.7233464,168.33843310002703,168.33850000007078,168.35320250003133,5,168.3532238000771,955124.9390695,172.0886839000741,172.08878880005796,172.10628880001605,6,172.1063484000042,955128.6922059,174.08652790007181,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,19,9,1,1,9,19,7,174.10322470008396,,,,,,174.08665810001548,,,,2,174.10325859999284,955130.6891061,174.10322470008396,176.08888819999993,176.14395990001503,176.15446180000436,4,176.15448640007526,955132.7403332,177.3358898999868,177.33593430009205,177.35258380009327,5,177.35260840004776,955133.9384548,181.08536330005154,181.08540360000916,181.10189090005588,6,181.1019229000667,955137.6877687,183.0874167000875,,,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0875908000162,183.08768880006392,,,,407892,001,2026-06-21_23h55.59.717,Graz,,2025.1.1,60.226741624584676,2026-06-21 23h56.06.033697 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,183.10185209999327,955139.6876986,,,,,,,,,
