img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attempt.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.06384489999618381,0.06391169992275536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,059878,001,2026-05-04_12h02.42.305,Graz,,2025.1.1,None,2026-05-04 12h02.46.844238 -0300,
,,,,,,,,,,,,,0.06394169991835952,0.06397669995203614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,059878,001,2026-05-04_12h02.42.305,Graz,,2025.1.1,None,2026-05-04 12h02.46.844238 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,0,0,0,0,0,0,4,0.08012009994126856,,,,,,0.06812309997621924,1,0.08014009997714311,729462.0847064,2,0.08019739994779229,729462.0847609,3.061639199964702,5.115263900021091,5.047801299951971,5.104485300020315,5.115263900021091,3,5.115290699992329,729467.1198578,6.327797899954021,6.327833899995312,6.346106300014071,5,6.346125499927439,729468.350691,10.07935179991182,10.079387999954633,10.093825099989772,6,10.093845799914561,729472.0984121,12.077761200023815,,059878,001,2026-05-04_12h02.42.305,Graz,,2025.1.1,None,2026-05-04 12h02.46.844238 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,1,1,0,0,1,1,2,12.09542559995316,,,,,,12.077901999931782,,,,2,12.095459699979983,729474.100028,12.09542559995316,,14.081485399976373,14.13997829996515,14.161900599952787,3,14.161920299986377,729476.1664865,15.314265299937688,15.314305000007153,15.326581100001931,5,15.326601499924436,729477.3311673,19.059954799944535,19.05998419993557,19.080014999955893,6,19.080043599940836,729481.0846102,21.078352399985306,19.080014999955893,059878,001,2026-05-04_12h02.42.305,Graz,,2025.1.1,None,2026-05-04 12h02.46.844238 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,2,2,0,0,2,2,6,21.094273599912412,,,,,,21.07849769992754,,,,2,21.094301600009203,729483.0988681,21.094273599912412,,23.077756399987265,23.134199899970554,23.143709199968725,4,23.14373449992854,729485.1483013,24.3307357999729,24.330848300014623,24.34526159998495,5,24.345319699961692,729486.3498983,28.078373699914664,28.07841550000012,28.092986700008623,6,28.093008799944073,729490.0975758,30.07770789996721,,059878,001,2026-05-04_12h02.42.305,Graz,,2025.1.1,None,2026-05-04 12h02.46.844238 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,3,3,0,0,3,3,7,30.092390800011344,,,,,,30.07783309998922,,,,2,30.092416399973445,729492.096982,30.092390800011344,,32.07877419993747,32.1290011999663,32.14526299992576,4,32.145288400002755,729494.1498553,33.32573359995149,33.32577360002324,33.34260989993345,5,33.34263500000816,729495.3472026,37.07558219996281,37.07561930001248,37.094369899947196,6,37.09439250000287,729499.0989593,39.075279199983925,,059878,001,2026-05-04_12h02.42.305,Graz,,2025.1.1,None,2026-05-04 12h02.46.844238 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,4,4,0,0,4,4,9,39.09340070001781,,,,,,39.07539969997015,,,,2,39.093430700013414,729501.0979977,39.09340070001781,,41.075340799987316,41.12533840001561,41.14285940001719,4,41.142879299935885,729503.1474453,42.325243299943395,42.325285799917765,42.34199999994598,5,42.34201999998186,729504.3465858,46.078275999985635,46.0783166999463,46.09359269996639,6,46.09361729992088,729508.0981848,48.074581400025636,,059878,001,2026-05-04_12h02.42.305,Graz,,2025.1.1,None,2026-05-04 12h02.46.844238 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,5,5,0,0,5,5,8,48.09549420000985,,,,,,48.07471249997616,,,,2,48.09552370000165,729510.1000899,48.09549420000985,,50.07522869994864,50.122136599966325,50.1430908999173,4,50.14311209996231,729512.1476787,51.326248699915595,51.326319199986756,51.340587500017136,5,51.3406105999602,729513.3451772,55.07404959993437,55.07408499997109,55.090917699970305,6,55.09093890001532,729517.0955052,57.07465889991727,,059878,001,2026-05-04_12h02.42.305,Graz,,2025.1.1,None,2026-05-04 12h02.46.844238 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,6,6,0,0,6,6,1,57.09289819991682,,,,,,57.07484779995866,,,,2,57.092987500014715,729519.0975711,57.09289819991682,,59.07381829991937,59.11622760002501,59.12491449993104,3,59.124936099979095,729521.1295029,60.326326499925926,60.32639289996587,60.34119029995054,5,60.34122409997508,729522.3457938,64.0764962999383,64.07660439994652,64.095132599934,6,64.0951907999115,729526.0997697,66.0732409999473,,059878,001,2026-05-04_12h02.42.305,Graz,,2025.1.1,None,2026-05-04 12h02.46.844238 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_hand.png,LEFT_MI_STIM,7,7,0,0,7,7,0,66.093453999958,,,,,,66.07338919991162,,,,2,66.09348689997569,729528.0980541,66.093453999958,,68.07446069992147,68.13229069998488,68.14093019999564,3,68.14095399994403,729530.1455202,69.32540019997396,69.32549009996,69.34011300001293,5,69.34013439994305,729531.3447004,73.07360230002087,73.07365149992984,73.09232109994628,6,73.09236289991532,729535.0969349,75.0728945999872,,059878,001,2026-05-04_12h02.42.305,Graz,,2025.1.1,None,2026-05-04 12h02.46.844238 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,8,8,0,0,8,8,5,75.09118300001137,,,,,,75.07301639998332,,,,2,75.09121210000012,729537.0957784,75.09118300001137,,77.07325519993901,77.12744579999708,77.14053279999644,4,77.14055349992123,729539.1451201,78.32770249992609,78.32774350000545,78.33922760002315,5,78.33924729994033,729540.3438126,82.07361119997222,82.07367519999389,82.09080090001225,6,82.09082449995913,729544.0953905,84.07308459992055,,059878,001,2026-05-04_12h02.42.305,Graz,,2025.1.1,None,2026-05-04 12h02.46.844238 -0300,
