img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,attempt.stopped,Attempt.stopped,Rest.started,Rest.stopped,REST_code,REST_tGlob,REST_tLSL,attention_cross.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.06920319999335334,0.06927449999784585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,079501,001,2025-09-01_15h16.09.467,Graz,,2025.1.1,35.405486647039496,2025-09-01 15h16.13.858871 -0300,
,,,,,,,,,,,,,0.06930959998862818,0.06934689999616239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,079501,001,2025-09-01_15h16.09.467,Graz,,2025.1.1,35.405486647039496,2025-09-01 15h16.13.858871 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,0,0,0,0,0,0,5,0.09336289999191649,,,,,,0.07411299999512266,1,0.09337759998743422,73269.5125786,2,0.09341479999420699,73269.5126139,5.128721499990206,7.083434399988619,7.171101599989925,7.2408961999899475,4,7.240922599987243,73276.6601255,8.322235499988892,8.322273399986443,8.325537999990047,5,8.325561399993603,73277.7447641,12.066292599993176,12.063599799992517,12.063627299998188,12.06366519999574,,,,,079501,001,2025-09-01_15h16.09.467,Graz,,2025.1.1,35.405486647039496,2025-09-01 15h16.13.858871 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,1,1,0,0,1,1,8,12.066292599993176,,,,,,12.06376979999186,,,,2,12.066365799997584,73281.4855664,12.066292599993176,14.05846109999402,14.095041599997785,14.252037300000666,4,14.252069999987725,73283.6712731,15.455247399993823,15.455286500000511,15.481494499996188,5,15.481521499998053,73284.9007255,,19.11499069999263,19.11502689999179,19.11508759998833,6,12.06631429999834,73281.4855177,14.252037300000666,079501,001,2025-09-01_15h16.09.467,Graz,,2025.1.1,35.405486647039496,2025-09-01 15h16.13.858871 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,2,2,0,0,2,2,4,19.117711799990502,,,,,,19.115198499988765,,,,2,19.117782499990426,73288.5369821,19.117711799990502,21.117452499995125,21.15530579999904,21.199764899996808,3,21.199787799996557,73290.6189907,22.365440199995646,22.365476499995566,22.380168199990294,5,22.380188999988604,73291.7993917,26.140118699986488,26.113065199999255,26.113097599998582,26.11313309999241,6,19.11773099999118,73288.5369338,,079501,001,2025-09-01_15h16.09.467,Graz,,2025.1.1,35.405486647039496,2025-09-01 15h16.13.858871 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,3,3,0,0,3,3,1,26.140118699986488,,,,,,26.113246699998854,,,,2,26.14019130000088,73295.5593907,26.140118699986488,28.113708699995186,28.15071689999604,28.192128799986676,3,28.19215339999937,73297.6113565,29.382755999991787,29.38279409999086,29.38594039999589,5,29.385980999999447,73298.8051879,,33.12386429999606,33.12390059999598,33.12395959999412,6,26.14014559998759,73295.5593483,,079501,001,2025-09-01_15h16.09.467,Graz,,2025.1.1,35.405486647039496,2025-09-01 15h16.13.858871 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,4,4,0,0,4,4,9,33.135233799999696,,,,,,33.124069499986945,,,,2,33.135292299994035,73302.554493,33.135233799999696,35.12964609998744,35.168107699995744,35.20990799998981,4,35.20993179999641,73304.6291345,36.384121199997026,36.3841570999939,36.411826699986705,5,36.41184789998806,73305.8310505,,40.14253429998644,40.14257060000091,40.14262719999533,6,33.13524619999225,73302.5544486,,079501,001,2025-09-01_15h16.09.467,Graz,,2025.1.1,35.405486647039496,2025-09-01 15h16.13.858871 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,5,5,0,0,5,5,0,40.146011799995904,,,,,,40.14273239999602,,,,2,40.146179499992286,73309.5653964,40.146011799995904,42.13834719998704,42.17632969999977,42.2153827999864,3,42.215412699995795,73311.6346153,43.4082875999884,43.40833069999644,43.41200779999781,5,43.412035699991975,73312.8312397,,47.14949989999877,47.14953599999717,47.1495952999976,6,40.14603979999083,73309.5652459,42.2153827999864,079501,001,2025-09-01_15h16.09.467,Graz,,2025.1.1,35.405486647039496,2025-09-01 15h16.13.858871 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,6,6,0,0,6,6,7,47.152910499993595,,,,,,47.149706999989576,,,,2,47.152983199994196,73316.5721827,47.152910499993595,49.143134499987355,49.18260929999815,49.19676069999696,4,49.19679519999772,73318.6159977,50.40657039999496,50.406606299991836,50.40971089999948,5,50.40972709999187,73319.8289297,54.174187999989954,54.146045399989816,54.14607350000006,54.14610759999778,6,47.152931199991144,73316.5721373,49.19676069999696,079501,001,2025-09-01_15h16.09.467,Graz,,2025.1.1,35.405486647039496,2025-09-01 15h16.13.858871 -0300,
C:\Users\User\Documents\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,7,7,0,0,7,7,2,54.174187999989954,,,,,,54.146214199994574,,,,2,54.17426679999335,73323.593466,54.174187999989954,56.14745119999861,56.18719919999421,56.275766099992325,3,56.275789199993596,73325.6949922,57.41936809998879,57.41940749999776,57.42263269999239,5,57.42266240000026,73326.8418682,,61.1815052999882,61.18154719998711,61.18165869999211,6,54.174219199994695,73323.5934221,,079501,001,2025-09-01_15h16.09.467,Graz,,2025.1.1,35.405486647039496,2025-09-01 15h16.13.858871 -0300,
