img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.06754159997217357,0.06760980002582073,,,,,,,,,,,,,025784,001,2026-05-27_18h37.41.147,Graz,,2025.1.1,59.82850754170616,2026-05-27 18h37.44.063039 -0300,
,,,,,,,,,,,,,0.06764100003056228,0.0676770000718534,,,,,,,,,,,025784,001,2026-05-27_18h37.41.147,Graz,,2025.1.1,59.82850754170616,2026-05-27 18h37.44.063039 -0300,
\home\seidi\Documentos\GitHub\real_time_bci\stims\right_hand.png,RIGHT_MI_STIM,0,0,0,0,0,0,7,0.0906358000356704,,,,,,0.072249700082466,1,0.09066330012865365,1266884.5784828,2,0.09073229995556176,1266884.5785492,3.0794373999815434,,5.066992399981245,,,,,,,,,
