img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.09449450000101933,0.09457010000187438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
,,,,,,,,,,,,,0.09460470000340138,0.09464670000306796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/both_feet.png,BOTH_MI_STIM,0,0,0,0,0,0,12,0.10539150000113295,,,,,,0.10074190000159433,1,0.10541740000189748,54475.033637,2,0.10547140000562649,54475.0336862,3.1053013000055216,5.096350700005132,5.169582100003026,5.191621300000406,7,5.191645700004301,54480.1198635,6.357596300003934,6.357634300002246,6.372296800000186,5,6.372320700000273,54481.3005388,10.103891900005692,10.103932000005443,10.120276400004514,6,10.120297300003585,54485.0485156,12.104203300004883,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,1,1,0,0,1,1,7,12.12080500000593,,,,,,12.104328600005829,,,,2,12.120834000001196,54487.0490518,12.12080500000593,14.104151300001831,14.142334500000288,14.15536240000074,4,14.15538600000582,54489.0836041,15.354876900004456,15.354918100005307,15.371338800003286,5,15.37136460000329,54490.2995833,19.10381220000272,19.103849700004503,19.120438700003433,6,19.12046260000352,54494.0486805,21.10423090000404,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/left_foot.png,LEFT_MI_STIM,2,2,0,0,2,2,2,21.123039199999766,,,,,,21.104352300004393,,,,2,21.123122100005276,54496.0513509,21.123039199999766,23.10357570000633,23.140818300002138,23.154858500005503,3,23.154881900001783,54498.0830995,24.354413000000932,24.354458000001614,24.37105590000283,5,24.371086600003764,54499.2993062,28.10363150000194,28.103674000005412,28.120099600004323,6,28.120122800006357,54503.0483401,30.106526100003975,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,3,3,0,0,3,3,8,30.122218800002884,,,,,,30.106693400004588,,,,2,30.122252000001026,54505.0504706,30.122218800002884,32.10289880000346,32.14619490000041,32.15512060000037,4,32.155149600002915,54507.0833685,33.356591600000684,33.356654700000945,33.37107660000038,5,33.371108600003936,54508.2993284,37.10261220000393,37.10265000000072,37.119081700002425,6,37.11910640000133,54512.0473248,39.10307660000399,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/left_foot.png,LEFT_MI_STIM,4,4,0,0,4,4,1,39.120314400002826,,,,,,39.10320370000409,,,,2,39.12034450000647,54514.0485629,39.120314400002826,41.106412200002524,41.160670900004334,41.17080540000461,3,41.17083110000385,54516.0990493,42.355287100006535,42.35532630000671,42.37095860000409,5,42.370982899999944,54517.299201,46.102724700002,46.10277219999989,46.119372200002545,6,46.11939950000669,54521.0476179,48.10236260000238,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/both_feet.png,BOTH_MI_STIM,5,5,0,0,5,5,10,48.118817800001125,,,,,,48.10248450000654,,,,2,48.118846800003666,54523.0470647,48.118817800001125,50.10227840000152,50.13932829999976,50.15456580000318,7,50.154590000005555,54525.0828078,51.35280000000057,51.35284220000176,51.36889400000655,5,51.36891730000207,54526.2971348,55.10197960000369,55.102020500002254,55.118571600003634,6,55.118595700005244,54530.046814,57.10170730000391,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/both_feet.png,BOTH_MI_STIM,6,6,0,0,6,6,11,57.11813170000096,,,,,,57.101833800006716,,,,2,57.11816120000003,54532.046379,57.11813170000096,59.10205550000683,59.140681000004406,59.15485290000652,7,59.15487790000043,54534.0830959,60.3525518000024,60.35259270000097,60.37009470000339,5,60.37011810000695,54535.2983365,64.10132530000556,64.10136469999998,64.1179598000017,6,64.1179842000056,54539.0462018,66.1020381000053,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,7,7,0,0,7,7,5,66.118409900002,,,,,,66.10216370000126,,,,2,66.11843920000683,54541.0466572,66.118409900002,68.10099890000129,68.13660600000003,68.15224060000037,4,68.15226390000316,54543.0804812,69.35250010000163,69.3525590000063,69.3685770000011,5,69.36860080000042,54544.2968185,73.10259910000605,73.10266860000411,73.13070900000457,6,73.13075040000695,54548.058975,75.10489630000666,,,,,,TT000,1,2026-09-07_23h19.37.473,Graz,,2025.1.1,60.02552285187276,2026-09-07 23h19.39.342090 -0300,
