img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,image_2.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
../stims/right_foot.png,RIGHT_MI_STIM,8,8,0,0,8,8,7,75.08902099999978,,,,,,75.0746461000017,,,,2,75.08905070000037,38682.6608113,75.08902099999978,,77.08752429999731,77.12364369999705,77.13581510000222,4,77.1358384999985,38684.7075987,78.32439480000176,78.32443559999956,78.33727850000287,5,78.33730310000101,38685.9090631,82.08474990000104,82.08479020000232,82.10326499999792,6,82.10328819999995,38689.6750489,84.08488779999607,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,9,9,0,0,9,9,5,84.10316140000214,,,,,,84.08501709999837,,,,2,84.10319219999656,38691.6749532,84.10316140000214,,86.06912269999884,86.10911579999811,86.11861489999865,4,86.11863939999603,38693.6903999,87.32424219999666,87.32428339999751,87.33817589999671,5,87.33819860000222,38694.9099589,91.07048930000019,91.07052870000189,91.08979140000156,6,91.08985509999911,38698.6616258,93.07170629999746,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/both_feet.png,BOTH_MI_STIM,10,10,0,0,10,10,14,93.09042829999817,,,,,,93.07212440000148,,,,2,93.09049170000071,38700.6622593,93.09042829999817,,95.07221530000243,95.1127450999993,95.11844900000142,7,95.11847329999728,38702.690234,96.3225448000012,96.32258719999663,96.33608149999782,5,96.33610790000239,38703.9078688,100.07341699999961,100.07345450000139,100.0902563999989,6,100.09030419999908,38707.6620715,102.0695551999961,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/left_foot.png,LEFT_MI_STIM,11,11,0,0,11,11,0,102.0851846000005,,,,,,102.06968249999773,,,,2,102.08521599999949,38709.656977,102.0851846000005,,104.07163820000278,104.11245680000138,104.12461629999598,3,104.12463929999649,38711.6963995,105.3223375000016,105.32238959999813,105.33592579999822,5,105.33595190000051,38712.9077124,109.07075249999616,109.07079209999938,109.08355360000132,6,109.08357660000183,38716.6553368,111.06783490000089,111.08568820000073,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/left_foot.png,LEFT_MI_STIM,12,12,0,0,12,12,4,111.08568820000073,,,,,,111.06795679999777,,,,2,111.08572499999718,38718.657486,111.08568820000073,,113.08671229999891,113.14448919999995,113.15023479999945,3,113.15025639999658,38720.7220168,114.33280620000005,114.33284679999633,114.34912339999573,5,114.34914710000157,38721.9209075,118.08569429999625,118.08573479999905,118.10288849999779,6,118.10291400000278,38725.6746747,120.08291230000032,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/both_feet.png,BOTH_MI_STIM,13,13,0,0,13,13,13,120.09940050000296,,,,,,120.08306289999746,,,,2,120.09943290000228,38727.6711942,120.09940050000296,,122.06960660000186,122.12596269999631,122.1350575999968,7,122.13508069999807,38729.706841,123.33274990000064,123.33279629999743,123.34932249999838,5,123.34934709999652,38730.9211077,127.0825995999985,127.08263939999597,127.09846639999887,6,127.09849189999659,38734.6702522,129.08531570000196,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/both_feet.png,BOTH_MI_STIM,14,14,0,0,14,14,11,129.10223899999983,,,,,,129.08552809999674,,,,2,129.1022776999962,38736.6740404,129.10223899999983,,131.08335200000147,131.12034709999716,131.1325452000019,7,131.1325674999971,38738.7043285,132.33422900000005,132.33427010000014,132.3488645999969,5,132.348891499998,38739.9206523,136.0832475999996,136.08328910000273,136.10077779999847,6,136.1008312999984,38743.6726011,138.0817939999979,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/left_foot.png,LEFT_MI_STIM,15,0,1,1,0,15,2,138.0985462999961,,,,,,138.08192240000062,,,,2,138.09857960000227,38745.6703409,138.0985462999961,,140.08811889999924,140.1317784999992,140.1527275999979,3,140.15275319999637,38747.7245147,141.3386496000021,141.33876249999594,141.35454670000036,5,141.35460769999918,38748.9263791,145.08149879999837,145.08153909999965,145.09919029999583,6,145.09921300000133,38752.6709729,147.08060719999776,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,16,1,1,1,1,16,9,147.10007269999915,,,,,,147.08072900000116,,,,2,147.1001458000028,38754.6719176,147.10007269999915,,149.08128679999936,149.11669619999884,149.13255539999955,4,149.13257979999617,38756.7043402,150.33290919999854,150.33295019999787,150.34799329999805,5,150.34801629999856,38757.9197768,154.0814412999971,154.08148339999752,154.10109560000274,6,154.10112919999665,38761.6728909,156.0838752999989,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
../stims/left_foot.png,LEFT_MI_STIM,17,2,1,1,2,17,0,156.09936999999627,,,,,,156.08423739999853,,,,2,156.09942320000118,38763.6711926,156.09936999999627,,158.08119269999588,158.13215189999755,158.14796439999918,3,158.14799019999919,38765.7197507,159.331322500002,159.33137200000056,159.34780650000175,5,159.34783510000125,38766.9195968,163.08081890000176,163.0808590000015,163.09732619999704,6,163.0973501999979,38770.669111,165.08043180000095,,,,,,,TT000,1,2026-09-07_18h55.10.313,Graz,,2025.1.1,60.060384710866636,2026-09-07 18h55.11.843691 -0300,
