img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attempt.stopped,image_2.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.08648030000040308,0.08656170000176644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-07_23h25.47.607,Graz,,2025.1.1,60.01954236157345,2026-09-07 23h25.49.963549 -0300,
,,,,,,,,,,,,,0.08659630000329344,0.08663869999872986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-07_23h25.47.607,Graz,,2025.1.1,60.01954236157345,2026-09-07 23h25.49.963549 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,0,0,0,0,0,0,5,0.11305900000297697,,,,,,0.1042174000031082,1,0.11307720000331756,54845.6696287,2,0.11311589999968419,54845.6696648,3.0912778999991133,5.163133400004881,5.075439200001711,5.140664700003981,5.163133400004881,4,5.163161000004038,54850.7197128,6.341554400001769,6.341592900003889,6.369206700001087,5,6.369231700002274,54851.9257837,10.091409600005136,10.091451200001757,10.107315000001108,6,10.107340400005342,54855.663892,12.091327599999204,,,,,,,,TT000,1,2026-09-07_23h25.47.607,Graz,,2025.1.1,60.01954236157345,2026-09-07 23h25.49.963549 -0300,
../stims/left_foot.png,LEFT_MI_STIM,1,1,0,0,1,1,2,12.118909600001643,,,,,,12.09145510000235,,,,2,12.118941400003678,54857.6754929,12.118909600001643,,14.100280500002555,14.140633900002285,14.158512699999847,3,14.158536900002218,54859.7150887,15.341254099999787,15.341296400001738,15.36866210000153,5,15.368685300003563,54860.9252368,19.101593300001696,19.10163250000187,19.116314999999304,6,19.11633879999863,54864.6728904,21.090462600004685,,,,,,,,TT000,1,2026-09-07_23h25.47.607,Graz,,2025.1.1,60.01954236157345,2026-09-07 23h25.49.963549 -0300,
../stims/both_feet.png,BOTH_MI_STIM,2,2,0,0,2,2,12,21.11801660000492,,,,,,21.090610600003856,,,,2,21.11804910000501,54866.674602,21.11801660000492,,23.09750940000231,23.1367681000047,23.16787209999893,7,23.16789580000477,54868.7244474,24.34927730000345,24.34931720000168,24.364070499999798,5,24.364092900003016,54869.9206442,28.09762700000283,28.09766430000309,28.112351700001454,6,28.11237610000535,54873.6689278,30.095736399998714,,,,,,,,TT000,1,2026-09-07_23h25.47.607,Graz,,2025.1.1,60.01954236157345,2026-09-07 23h25.49.963549 -0300,
../stims/left_foot.png,LEFT_MI_STIM,3,3,0,0,3,3,1,30.110615999998117,,,,,,30.09586140000465,,,,2,30.110644799999136,54875.6671967,30.110615999998117,,32.09021349999966,32.12665370000468,32.14711450000323,3,32.147138500004075,54877.7036903,33.3426518999986,33.34271350000199,33.35703420000209,5,33.35705810000218,54878.9136096,37.08930700000201,37.089351599999645,37.10830559999886,6,37.10832830000436,54882.6648802,39.09231770000042,,,,,,,,TT000,1,2026-09-07_23h25.47.607,Graz,,2025.1.1,60.01954236157345,2026-09-07 23h25.49.963549 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,4,4,0,0,4,4,7,39.10825509999995,,,,,,39.09244739999849,,,,2,39.10828639999818,54884.6648388,39.10825509999995,,41.099333999998635,41.1472700000013,41.16102559999854,4,41.16105339999922,54886.7176058,42.35059529999853,42.350637900002766,42.36593620000349,5,42.365959000002476,54887.9225107,46.13788600000407,46.137926100003824,46.17048910000449,6,46.17051380000339,54891.7270656,48.12720220000483,,,,,,,,TT000,1,2026-09-07_23h25.47.607,Graz,,2025.1.1,60.01954236157345,2026-09-07 23h25.49.963549 -0300,
../stims/both_feet.png,BOTH_MI_STIM,5,5,0,0,5,5,13,48.19623480000155,,,,,,48.127355500000704,,,,2,48.1962674000024,54893.7528191,48.19623480000155,,50.12650980000035,50.163655900003505,50.19057070000417,7,50.190592800005106,54895.7471441,51.35324309999851,51.353286300000036,51.380561800004216,5,51.380587799998466,54896.9371398,55.08945240000321,55.08949450000364,55.116073700002744,6,55.116102600004524,54900.6726549,57.087893100004294,,,,,,,,TT000,1,2026-09-07_23h25.47.607,Graz,,2025.1.1,60.01954236157345,2026-09-07 23h25.49.963549 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,6,6,0,0,6,6,9,57.11424480000278,,,,,,57.08803640000406,,,,2,57.11430030000338,54902.6708558,57.11424480000278,,59.090371900005266,59.126954500003194,59.14588260000164,4,59.14590640000097,54904.7024579,60.35760210000444,60.35764349999954,60.3785527,5,60.37857630000508,54905.9351279,64.09183389999816,64.09192530000291,64.1060695000051,6,64.10609490000206,54909.6626471,66.10629360000166,,,,,,,,TT000,1,2026-09-07_23h25.47.607,Graz,,2025.1.1,60.01954236157345,2026-09-07 23h25.49.963549 -0300,
../stims/both_feet.png,BOTH_MI_STIM,7,7,0,0,7,7,10,66.12038430000393,,,,,,66.10642370000278,,,,2,66.12041290000343,54911.6769645,66.12038430000393,,68.09786739999981,68.13521700000274,68.16502160000528,7,68.16505600000528,54913.7216086,69.34750809999969,69.34754819999944,69.36138329999812,5,69.3614063999994,54914.917958,73.08754500000214,73.0875834000035,73.11388779999834,6,73.11391260000528,54918.6704642,75.09038010000222,,,,,,,,TT000,1,2026-09-07_23h25.47.607,Graz,,2025.1.1,60.01954236157345,2026-09-07 23h25.49.963549 -0300,
