img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attempt.stopped,image_2.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.06472629999916535,0.06480039999587461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
,,,,,,,,,,,,,0.06483309999748599,0.0648734999995213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/left_foot.png,LEFT_MI_STIM,0,0,0,0,0,0,4,0.08232589998806361,,,,,,0.07547589999740012,1,0.08235189999686554,94597.9410983,2,0.08241740000084974,94597.9411619,3.0842139999876963,5.067617399996379,5.118521299998974,5.133812100000796,3,5.133834499996738,94602.9925798,6.3192061000008835,6.319315699991421,6.332568999991054,5,6.332590699996217,94604.1913356,10.065829300001496,10.065870899998117,10.082397699996363,6,10.082421799990698,94607.9411669,12.067404399989755,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/left_foot.png,LEFT_MI_STIM,1,1,0,0,1,1,0,12.083807899995008,,,,,,12.067685099988012,,,,2,12.083862799991039,94609.9426148,12.083807899995008,14.066327799999272,14.102772699989146,14.11638929999026,3,14.11641149999923,94611.975157,15.317182999991928,15.317266799989739,15.333726500000921,5,15.333767699994496,94613.1925189,19.068568299990147,19.068681299992022,19.0851052999933,6,19.085169099998893,94616.9439248,21.065474799994263,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,2,2,0,0,2,2,7,21.082086399997934,,,,,,21.06561910000164,,,,2,21.082118499994976,94618.9408651,21.082086399997934,23.068480799993267,23.12741209998785,23.132413599989377,4,23.132436499989126,94620.9911815,24.31546119999257,24.31550579999748,24.332009399993694,5,24.332039999993867,94622.1907875,28.06773689998954,28.06783619998896,28.08423110000149,6,28.084288599988213,94625.9430426,30.066961199991056,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,3,3,0,0,3,3,5,30.083288599998923,,,,,,30.06729349998932,,,,2,30.08334620000096,94627.9420984,30.083288599998923,32.06757059998927,32.12052820000099,32.13199549999263,4,32.132018399992376,94629.9907634,33.31635349999124,33.316437099987525,33.332735099989804,5,33.33278299999074,94631.1915344,37.08172459999332,37.081775499988,37.099091700001736,6,37.09915509998973,94634.9579055,39.066101399992476,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/both_feet.png,BOTH_MI_STIM,4,4,0,0,4,4,11,39.08233069999551,,,,,,39.06636839998828,,,,2,39.082385299989255,94636.9411366,39.08233069999551,41.066843099994,41.12499260000186,41.13148440000077,7,41.13150699999824,94638.9902519,42.31504299999506,42.31508299999405,42.330887299991446,5,42.33090899999661,94640.1896538,46.06399199999578,46.06402309999976,46.08086669999466,6,46.08089589999872,94643.9396413,48.06719849999354,46.08086669999466,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/left_foot.png,LEFT_MI_STIM,5,5,0,0,5,5,1,48.083390299987514,,,,,,48.067605999996886,,,,2,48.08347309999226,94645.942231,48.083390299987514,50.081602599995676,50.12368199999037,50.131984299994656,3,50.13200769999821,94647.9907523,51.3308965999895,51.330942100001266,51.34767759998795,5,51.34770800000115,94649.2064547,55.06613199999265,55.06622719998995,55.082686800000374,6,55.08274439998786,94652.9414973,57.06621049999376,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/both_feet.png,BOTH_MI_STIM,6,6,0,0,6,6,14,57.082425299988245,,,,,,57.06655519999913,,,,2,57.082497899988084,94654.9412523,57.082425299988245,59.0655473999941,59.11349209999025,59.13057239999762,7,59.13059539999813,94656.9893409,60.31613629999629,60.31623810000019,60.332746100000804,5,60.33280150000064,94658.1915565,64.06624889999512,64.06636289999005,64.08257919999596,6,64.08264100000088,94661.9413975,66.08026119999704,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/left_foot.png,LEFT_MI_STIM,7,7,0,0,7,7,2,66.09689329999674,,,,,,66.08041879998927,,,,2,66.09693210000114,94663.9556796,66.09689329999674,68.06648879998829,68.1172641000012,68.13009320000128,3,68.13011519999418,94665.9888601,69.31494649998785,69.31503059998795,69.33103279999341,5,69.33107929999824,94667.1898309,73.06571959999565,73.06583199999295,73.08204529999057,6,73.08211059999303,94670.9408665,75.0658712000004,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/both_feet.png,BOTH_MI_STIM,8,8,0,0,8,8,13,75.08226479998848,,,,,,75.0662680999958,,,,2,75.0823442999972,94672.9411016,75.08226479998848,77.06584909999219,77.12113549999776,77.12964199999988,7,77.12966459999734,94674.9884098,78.33110569999553,78.3311868999881,78.3473806999973,5,78.34742779999215,94676.2061802,82.06495119999454,82.06505059999472,82.08115810000163,6,82.08121589999064,94679.93997,84.06487889999698,,84.08084169999347,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/both_feet.png,BOTH_MI_STIM,9,9,0,0,9,9,10,84.08084169999347,,,,,,84.06520060000184,,,,2,84.08092509998824,94681.9396807,84.08084169999347,86.0790105999913,86.11843399998907,86.12914979999186,7,86.12917379999999,94683.9879197,87.3305388000008,87.33062049999717,87.34534379999968,5,87.34536529998877,94685.2041103,91.0811243999924,91.08122389999335,91.09728899999755,6,91.09734509998816,94688.9560988,93.08004259999143,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,10,10,0,0,10,10,6,93.09633829999075,,,,,,93.08032069999899,,,,2,93.09639449999668,94690.9551464,93.09633829999075,95.07836229998793,95.11358269999619,95.12888229999226,4,95.128905199992,94692.9876507,96.3308238999889,96.33092529998976,96.34750789999089,5,96.34756379999453,94694.2063175,100.07995619998837,100.08003630000167,100.09599329999764,6,100.09603950000019,94697.9547911,102.08087140000134,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/left_foot.png,LEFT_MI_STIM,11,11,0,0,11,11,3,102.09420799999498,,,,,,102.08125930000097,,,,2,102.09423709999828,94699.9529828,102.09420799999498,104.07871819999127,104.12172669998836,104.12909349999973,3,104.12911569999414,94701.9878604,105.32796919999237,105.32800929999212,105.34445959998993,5,105.34448499999417,94703.2032313,109.08034329999646,109.08044019999215,109.09647259999474,6,109.09652890000143,94706.9552837,111.07764949998818,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/both_feet.png,BOTH_MI_STIM,12,12,0,0,12,12,12,111.09535779998987,,,,,,111.0778289000009,,,,2,111.09541860000172,94708.9541712,111.09535779998987,113.07993589999387,113.12872629999765,113.1445504000003,7,113.14457389999006,94711.0033193,114.32813090000127,114.32819169999857,114.34551030000148,5,114.34555659999023,94712.2043083,118.07863249999355,118.07871760000126,118.09537719999207,6,118.09542439998768,94715.9541762,120.07965780000086,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,13,13,0,0,13,13,9,120.09588179999264,,,,,,120.08001279999735,,,,2,120.0959554000001,94717.9547106,120.09588179999264,122.07836689999385,122.11460749999969,122.12744450000173,4,122.12746730000072,94719.9862126,123.32698949999758,123.32702830000198,123.3433279999881,5,123.34334959999251,94721.2020946,127.07747669999662,127.07754439998826,127.09569889999693,6,127.09575670000049,94724.9545109,129.07968009999604,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,14,14,0,0,14,14,8,129.0967571999936,,,,,,129.08006889998796,,,,2,129.0968365000008,94726.9555941,129.0967571999936,131.0763799999986,131.1116034000006,131.12698629999068,4,131.12700999999652,94728.985755,132.3293823999993,132.3295000999933,132.3462412999943,5,132.34630720000132,94730.2050641,136.07862499999464,136.07872379999026,136.09247959998902,6,136.0925026999903,94733.9512481,138.0791734999948,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,15,0,1,1,0,15,8,138.09561469999608,,,,,,138.0795580999984,,,,2,138.09569550000015,94735.9544522,138.09561469999608,140.07764369998768,140.1231170999963,140.1430427999876,4,140.14306550000038,94738.00181,141.32608439998876,141.32612249998783,141.34621689999767,5,141.34628469999006,94739.2050432,145.07587619998958,145.07591809998848,145.0925700999942,6,145.09259879999445,94742.951346,147.07801329999347,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/both_feet.png,BOTH_MI_STIM,16,1,1,1,1,16,10,147.0951122999977,,,,,,147.0783623999887,,,,2,147.09518150000076,94744.9539365,147.0951122999977,149.0770996999927,149.1237231999985,149.14388209999015,7,149.1439046000014,94747.0026499,150.32699649999267,150.32707669999218,150.34340169999632,5,150.34344539999438,94748.2021961,154.07506069999363,154.07509899999422,154.09150859998772,6,154.0915309999982,94751.9502762,156.0780123000004,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/both_feet.png,BOTH_MI_STIM,17,2,1,1,2,17,12,156.09447849998833,,,,,,156.07840399999986,,,,2,156.09455829999933,94753.9533144,156.09447849998833,158.07678569998825,158.11392419999174,158.12635089999822,7,158.12637410000025,94755.9851191,159.32490659999894,159.32495070000004,159.34169079999265,5,159.3417158999946,94757.2004613,163.077249199996,163.07735059999686,163.0936786999955,6,163.09373389999382,94760.9524874,165.07710729999235,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/both_feet.png,BOTH_MI_STIM,18,3,1,1,3,18,13,165.09094449999975,,,,,,165.07745519999298,,,,2,165.09097479999764,94762.9497208,165.09094449999975,167.076095299999,167.12354899999627,167.14164209998853,7,167.14166509998904,94765.0004105,168.324618499988,168.32465719999163,168.3406982999877,5,168.34072139998898,94766.1994664,172.0743311999977,172.0743783999933,172.0913787999889,6,172.0914100999944,94769.9501579,174.07791199999338,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/left_foot.png,LEFT_MI_STIM,19,4,1,1,4,19,2,174.09392819998902,,,,,,174.07831079998869,,,,2,174.09401010000147,94771.9527673,174.09392819998902,176.07713309999963,176.11381119998987,176.12446490000002,3,176.12448909999512,94773.9832338,177.32558449999487,177.32566829999269,177.34222419999423,5,177.34226689999923,94775.2010179,181.07371519999288,181.07375409999804,181.0903365999984,6,181.09036209998885,94778.9491082,183.0737519999966,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,20,5,1,1,5,20,7,183.09082630000194,,,,,,183.07389919999696,,,,2,183.09087049998925,94780.9496198,183.09082630000194,185.07592360000126,185.11269280000124,185.12402209998982,4,185.1240448999888,94782.9827901,186.32503569999244,186.32510529999854,186.34091339999577,5,186.34095800000068,94784.1997084,190.07343330000003,190.07347579998896,190.08955639999476,6,190.08958200000052,94787.9483284,192.07501539999794,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/both_feet.png,BOTH_MI_STIM,21,6,1,1,6,21,11,192.09197109998786,,,,,,192.07535590000043,,,,2,192.092038399991,94789.9507915,192.09197109998786,194.07592769998882,194.1107869999978,194.12505389998842,7,194.12507779999578,94791.9838231,195.32382539998798,195.32388479998917,195.34134970000014,5,195.34139709999727,94793.2001493,199.07431529999303,199.07439319998957,199.09220119999372,6,199.09225779998815,94796.9510116,201.07457959999738,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,22,7,1,1,7,22,6,201.09096509999654,,,,,,201.07487859998946,,,,2,201.09102949999215,94798.949783,201.09096509999654,203.07262599999376,203.10691379998752,203.12482269998873,4,203.12486749999516,94800.9836172,204.32576859999972,204.32588739998755,204.3390505999996,5,204.33907139999792,94802.1978168,208.07557709999674,208.07569379999768,208.09181359999639,6,208.0918776999897,94805.9506331,210.0742179999943,,,,,,,,TT000,1,2026-09-08_10h28.17.278,Graz,,2025.1.1,59.9873186802915,2026-09-08 10h28.19.486880 -0300,
