img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.07464750000508502,0.07472499999857973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-08_10h50.48.739,Graz,,2025.1.1,29.817555324800196,2026-09-08 10h50.51.618916 -0300,
,,,,,,,,,,,,,0.0747583000047598,0.074799099995289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-08_10h50.48.739,Graz,,2025.1.1,29.817555324800196,2026-09-08 10h50.51.618916 -0300,
../stims/left_foot.png,LEFT_MI_STIM,0,0,0,0,0,0,2,0.09164879999298137,,,,,,0.07928950000496116,1,0.0916709000011906,95950.0727422,2,0.09177620000264142,95950.072845,3.077504200002295,5.155667999992147,5.06741950000287,5.129285200004233,5.155667999992147,3,5.155699900002219,95955.1367725,6.325763799992274,6.325804599997355,6.3421374000026844,5,6.342161499997019,95956.3232327,10.105561999997008,10.10560369999439,10.140069799992489,6,10.140094599992153,95960.121166,12.106282399996417,,,,,,TT000,1,2026-09-08_10h50.48.739,Graz,,2025.1.1,29.817555324800196,2026-09-08 10h50.51.618916 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,1,1,0,0,1,1,6,12.139919799999916,,,,,,12.106421599994064,,,,2,12.13994900000398,95962.1210209,12.139919799999916,,14.079256199998781,14.116826299999957,14.131383800006006,4,14.131405799998902,95964.1124772,15.354864900000393,15.354909200003021,15.38986379999551,5,15.389886699995259,95965.3709579,19.10633809999854,19.106379299992113,19.124616500004777,6,19.124639699992258,95969.1057111,21.089720899995882,,,,,,TT000,1,2026-09-08_10h50.48.739,Graz,,2025.1.1,29.817555324800196,2026-09-08 10h50.51.618916 -0300,
../stims/both_feet.png,BOTH_MI_STIM,2,2,0,0,2,2,14,21.10778449999634,,,,,,21.089909200003603,,,,2,21.10782809999364,95971.0889029,21.10778449999634,,23.082664400004433,23.11739519999537,23.135155900003156,7,23.135177999996813,95973.1162491,24.33783720000065,24.33788330000243,24.372436999998172,5,24.37246129999403,95974.3535328,28.085696900001494,28.08573960000649,28.103274499997497,6,28.10329769999953,95978.084369,30.08310319999873,,,,,,TT000,1,2026-09-08_10h50.48.739,Graz,,2025.1.1,29.817555324800196,2026-09-08 10h50.51.618916 -0300,
../stims/both_feet.png,BOTH_MI_STIM,3,3,0,0,3,3,10,30.100397899994277,,,,,,30.083234799996717,,,,2,30.100427500001388,95980.0814993,30.100397899994277,,32.08721779999905,32.12364669999806,32.15408560000651,7,32.154110499992385,95982.135182,33.33875409999746,33.33880769999814,33.35724860000482,5,33.35727209999459,95983.3383433,37.075680800000555,37.07572069999878,37.09320879999723,6,37.09323109999241,95987.0743022,39.08865570000489,,,,,,TT000,1,2026-09-08_10h50.48.739,Graz,,2025.1.1,29.817555324800196,2026-09-08 10h50.51.618916 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,4,4,0,0,4,4,5,39.106478699992294,,,,,,39.08879549999256,,,,2,39.1065130999923,95989.0875857,39.106478699992294,,41.1050882999989,41.14093530000537,41.16034620000573,4,41.16038459999254,95991.1414792,42.33651320000354,42.33655439999711,42.37025609999546,5,42.370281099996646,95992.3513527,46.07630620000418,46.07634549999784,46.09356330000446,6,46.093585800001165,95996.0746568,48.08939160000591,,,,,,TT000,1,2026-09-08_10h50.48.739,Graz,,2025.1.1,29.817555324800196,2026-09-08 10h50.51.618916 -0300,
../stims/left_foot.png,LEFT_MI_STIM,5,5,0,0,5,5,4,48.12308780000603,,,,,,48.089526900002966,,,,2,48.12315780000063,95998.1042379,48.12308780000603,,50.08819439999934,50.12323870000546,50.140637999997125,3,50.14065990000381,96000.1217311,51.325119600005564,51.32516019999457,51.34226259999559,5,51.34228539999458,96001.3233564,55.07599450000271,55.07603169999493,55.09347659999912,6,55.09349879999354,96005.0745699,57.10308929999883,,,,,,TT000,1,2026-09-08_10h50.48.739,Graz,,2025.1.1,29.817555324800196,2026-09-08 10h50.51.618916 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,6,6,0,0,6,6,7,57.12278520000109,,,,,,57.103232900000876,,,,2,57.1228231999994,96007.1038972,57.12278520000109,,59.08278569999675,59.11804119999579,59.136249200004386,4,59.136273600001005,96009.1173455,60.332697299993015,60.3327386000019,60.35019509999256,5,60.35021869999764,96010.3312896,64.09094539999205,64.09098229999654,64.10850499999651,6,64.10852720000548,96014.0895975,66.08510009999736,,,,,,TT000,1,2026-09-08_10h50.48.739,Graz,,2025.1.1,29.817555324800196,2026-09-08 10h50.51.618916 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,7,7,0,0,7,7,9,66.1179209999973,,,,,,66.08528260000458,,,,2,66.11795309999434,96016.0990253,66.1179209999973,,68.08048350000172,68.11499760000152,68.13288059999468,4,68.13290250000136,96018.1139737,69.33336380000401,69.333403800003,69.351107399998,5,69.35113229999843,96019.3322039,73.07622430000629,73.07626339999842,73.09394570000586,6,73.09396820000256,96023.075039,75.08474809999461,,,,,,TT000,1,2026-09-08_10h50.48.739,Graz,,2025.1.1,29.817555324800196,2026-09-08 10h50.51.618916 -0300,
