img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attention_cross.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.051807299998472445,0.0518856999988202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
,,,,,,,,,,,,,0.05191979999653995,0.0519609999973909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/left_foot.png,LEFT_MI_STIM,0,0,0,0,0,0,3,0.0740010000008624,,,,,,0.056767299996863585,1,0.07402629999705823,55866.0851648,2,0.07408849999774247,55866.0852231,3.056410799996229,5.062259599995741,5.131545299998834,5.184960899998259,3,5.184985899999447,55871.1961232,6.324453399996855,6.324494100001175,6.3378931999977794,5,6.337915299998713,55872.3490523,10.061969499998668,10.06200749999698,10.075960399997712,6,10.075984499999322,55876.0871214,12.054194099997403,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/left_foot.png,LEFT_MI_STIM,1,1,0,0,1,1,2,12.06789089999802,,,,,,12.054352899998776,,,,2,12.06792129999667,55878.0790582,12.06789089999802,14.056353499996476,14.091683200000261,14.136334700000589,3,14.136360299999069,55880.1474979,15.311040599997796,15.311081499996362,15.324782299998333,5,15.324805799995374,55881.3359428,19.056617900001584,19.05665990000125,19.07030020000093,6,19.070323499996448,55885.0814602,21.058560400000715,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,2,2,0,0,2,2,9,21.072700999997323,,,,,,21.058690099998785,,,,2,21.07273410000198,55887.0838723,21.072700999997323,23.06181479999941,23.098844599997392,23.15512270000181,4,23.15514809999877,55889.1662854,24.306382199996733,24.30642259999877,24.320213999999396,5,24.320237299994915,55890.331374,28.05373139999574,28.053770200000145,28.06755439999688,6,28.067578700000013,55894.0787156,30.05388479999965,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/both_feet.png,BOTH_MI_STIM,3,3,0,0,3,3,10,30.06765119999909,,,,,,30.054037099995185,,,,2,30.067681699998502,55896.0788194,30.06765119999909,32.051993699999,32.08828889999859,32.13273349999508,7,32.13276899999619,55898.1439103,33.302972299999965,33.30301659999532,33.32922079999844,5,33.32924519999506,55899.3403823,37.05423709999741,37.0542770999964,37.06797969999752,6,37.06800359999761,55903.0791408,39.053435299996636,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/left_foot.png,LEFT_MI_STIM,4,4,0,0,4,4,0,39.06700199999614,,,,,,39.05356429999665,,,,2,39.06703279999783,55905.0781702,39.06700199999614,41.05986039999698,41.095978799996374,41.15276610000001,3,41.152793599998404,55907.1639309,42.302215600000636,42.30225739999878,42.32829469999706,5,42.32832049999706,55908.3394572,46.052271100001235,46.05231249999633,46.078242099996714,6,46.078267400000186,55912.0894048,48.05709950000164,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,5,5,0,0,5,5,7,48.07356859999709,,,,,,48.05722809999861,,,,2,48.07359929999802,55914.0847365,48.07356859999709,50.06553039999562,50.10574369999813,50.116303099996,4,50.11634829999821,55916.1274906,51.31643829999666,51.31651630000124,51.33231369999703,5,51.33235199999763,55917.3434926,55.064934999994875,55.06497429999581,55.08253729999706,6,55.08256039999833,55921.0936971,57.064819300001545,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/both_feet.png,BOTH_MI_STIM,6,6,0,0,6,6,12,57.085064999999304,,,,,,57.06498759999522,,,,2,57.085097600000154,55923.0962355,57.085064999999304,59.05237910000142,59.106466099998215,59.117866499997035,7,59.117892099995515,55925.1290294,60.31751010000153,60.317550399995525,60.33402080000087,5,60.334044499999436,55926.3451817,64.06407659999968,64.06411949999892,64.08083479999914,6,64.08085879999999,55930.091997,66.06984279999597,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/both_feet.png,BOTH_MI_STIM,7,7,0,0,7,7,13,66.08959719999984,,,,,,66.07041249999747,,,,2,66.08965109999554,55932.100793,66.08959719999984,68.06430309999996,68.10249530000146,68.1185661999989,7,68.1185942000011,55934.1297316,69.30318389999593,69.30323189999763,69.31805560000066,5,69.31809010000143,55935.3292295,73.06367379999574,73.06372589999955,73.08050319999893,6,73.0805263000002,55939.0916632,75.05200589999731,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/both_feet.png,BOTH_MI_STIM,8,8,0,0,8,8,11,75.06376389999787,,,,,,75.05215759999555,,,,2,75.06379759999982,55941.0749356,75.06376389999787,77.04814459999761,77.08944519999932,77.09866129999864,7,77.09869500000059,55943.1098325,78.31717470000149,78.31721860000107,78.33069180000166,5,78.33071460000065,55944.3418515,82.06395479999628,82.06399919999967,82.08095469999535,6,82.0809797999973,55948.0921174,84.06625119999808,77.09866129999864,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/left_foot.png,LEFT_MI_STIM,9,9,0,0,9,9,1,84.08168129999831,,,,,,84.06641110000055,,,,2,84.08172609999747,55950.0928657,84.08168129999831,86.06645089999802,86.10376739999629,86.11517789999925,3,86.11519899999985,55952.1263354,87.31379290000041,87.31383259999711,87.3326070999974,5,87.33263050000096,55953.3437679,91.06826960000035,91.06831709999824,91.08163929999864,6,91.08166170000186,55957.0927986,93.07681410000077,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,10,10,0,0,10,10,5,93.10194229999615,,,,,,93.0816804999995,,,,2,93.10200189999887,55959.1131461,93.10194229999615,95.05559979999816,95.26563370000076,95.28496359999554,4,95.28498789999867,55961.2961254,96.31484030000138,96.31490140000096,96.33104900000035,5,96.33109600000171,55962.342244,100.06676909999806,100.0668125000011,100.08304700000008,6,100.08308540000144,55966.0942262,102.06275559999631,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/left_foot.png,LEFT_MI_STIM,11,11,0,0,11,11,4,102.07942670000193,,,,,,102.062929599997,,,,2,102.07948529999703,55968.0906287,102.07942670000193,104.06188989999646,104.10086980000051,104.11309359999723,3,104.11311549999664,55970.124253,105.31197799999791,105.31201950000104,105.3282373999973,5,105.3282601999963,55971.339397,109.06155749999743,109.06159769999795,109.07804639999813,6,109.07807019999746,55975.089207,111.06179359999805,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,12,12,0,0,12,12,8,111.07808419999492,,,,,,111.06192329999612,,,,2,111.07812130000093,55977.0892631,111.07808419999492,113.06235439999728,113.10715540000092,113.11352709999483,4,113.1135512999972,55979.1246894,114.31153890000132,114.31158180000057,114.3277822999953,5,114.32783599999675,55980.3389746,118.06413969999994,118.064191999998,118.07847059999767,6,118.078494399997,55984.0896315,120.06253579999611,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/both_feet.png,BOTH_MI_STIM,13,13,0,0,13,13,14,120.08337880000181,,,,,,120.06268889999774,,,,2,120.08341819999623,55986.0945565,120.08337880000181,122.06359330000123,122.19825589999527,122.21584989999974,7,122.21590740000102,55988.2270547,123.30326049999712,123.30338620000111,123.34027019999485,5,123.34031510000204,55989.3514605,127.06383629999618,127.06394079999882,127.07970380000188,6,127.07974129999639,55993.0908865,129.06239559999813,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,14,14,0,0,14,14,6,129.08603859999857,,,,,,129.06256109999958,,,,2,129.08607409999968,55995.0972119,129.08603859999857,131.06377029999567,131.17210029999842,131.18468069999653,4,131.1847190999979,55997.1958581,132.3139508999957,132.31399679999595,132.33396089999587,5,132.3339846999952,55998.3451218,136.06235419999575,136.0623940000005,136.08083259999694,6,136.08085669999855,56002.0919945,138.062030699999,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/left_foot.png,LEFT_MI_STIM,15,0,1,1,0,15,1,138.0810005999956,,,,,,138.06223479999608,,,,2,138.08103319999645,56004.0921708,138.0810005999956,140.06158889999642,140.10290079999686,140.11178349999682,3,140.1118062999958,56006.1229428,141.31136349999724,141.3114046999981,141.33169120000093,5,141.33171369999764,56007.3428505,145.0671106000009,145.0672837999955,145.07724379999854,6,145.07726679999905,56011.0884036,147.06007030000183,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/left_foot.png,LEFT_MI_STIM,16,1,1,1,1,16,0,147.07694459999766,,,,,,147.06019740000193,,,,2,147.0769747000013,56013.0881122,147.07694459999766,149.06073189999734,149.10030449999613,149.1107847999956,3,149.11080709999806,56015.1219443,150.31056539999554,150.3106087999986,150.3268074000007,5,150.32683689999976,56016.3379755,154.06270249999943,154.06281709999894,154.0800420999949,6,154.08018209999864,56020.091351,156.06445749999693,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/both_feet.png,BOTH_MI_STIM,17,2,1,1,2,17,14,156.08039629999985,,,,,,156.0648493999979,,,,2,156.08047670000087,56022.0916247,156.08039629999985,158.05992149999656,158.10529349999706,158.11010759999772,7,158.1101239999989,56024.1212604,159.30975279999984,159.30979519999528,159.326324499998,5,159.32635679999657,56025.3374962,163.05947110000125,163.05950999999914,163.0762839999952,6,163.0763106999948,56029.0874486,165.0586215000003,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/left_foot.png,LEFT_MI_STIM,18,3,1,1,3,18,3,165.07550959999935,,,,,,165.05874960000074,,,,2,165.07553919999918,56031.0866766,165.07550959999935,167.05837919999612,167.09495339999557,167.1097021999958,3,167.10972699999547,56033.120864,168.30927979999979,168.30931959999725,168.32495280000148,5,168.3249763999993,56034.3361133,172.06121580000035,172.06125449999672,172.0752033999961,6,172.07522700000118,56038.0863642,174.06156209999608,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,19,4,1,1,4,19,9,174.0772771999982,,,,,,174.06169229999796,,,,2,174.0773072000011,56040.0884451,174.0772771999982,176.05896080000093,176.0942494999981,176.11552500000107,4,176.11554669999896,56042.1266838,177.31278849999944,177.3128310999964,177.33415080000123,5,177.3342158999949,56043.3453634,181.06096170000092,181.06099910000194,181.07682509999722,6,181.07684750000044,56047.0879844,183.0608116000003,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,20,5,1,1,5,20,8,183.07705310000165,,,,,,183.06093690000125,,,,2,183.0770829999965,56049.0882206,183.07705310000165,185.06269949999842,185.10010879999754,185.11243419999664,4,185.11245799999597,56051.1235952,186.31168349999643,186.31172389999847,186.3313616000014,5,186.33138260000123,56052.3425191,190.06304539999837,190.06308329999592,190.07488210000156,6,190.0749031000014,56056.0860394,192.06126489999588,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,21,6,1,1,6,21,5,192.07807460000186,,,,,,192.0613921999975,,,,2,192.07810400000017,56058.0892412,192.07807460000186,194.0612164999984,194.0983991999965,194.1108860999957,4,194.1109084999989,56060.1220448,195.31044439999823,195.31048629999714,195.327231999996,5,195.32725399999617,56061.3383909,199.05890250000084,199.05894029999763,199.07507310000074,6,199.07509610000125,56065.0862331,201.0583184999996,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,22,7,1,1,7,22,7,201.07484989999648,,,,,,201.05848279999918,,,,2,201.07488819999708,56067.0860273,201.07484989999648,203.05687100000068,203.0921836999987,203.10832149999624,4,203.10834389999945,56069.1194804,204.30697230000078,204.30701099999715,204.32368280000082,5,204.32371219999914,56070.3348512,208.05672549999872,208.05676459999813,208.07314860000042,6,208.0731734000001,56074.0843108,210.05659279999963,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
../stims/both_feet.png,BOTH_MI_STIM,23,8,1,1,8,23,12,210.07348539999657,,,,,,210.0567194999967,,,,2,210.07351819999894,56076.0846559,210.07348539999657,212.05681170000025,212.10367720000067,212.1075991999969,7,212.10763829999632,56078.1187755,213.3078858000008,213.30796790000022,213.32412269999622,5,213.32416550000198,56079.3353073,217.05702519999613,217.05709099999513,217.0747784999985,6,217.07484049999766,56083.0859868,219.05626289999782,,,,,,,TT000,1,2026-09-07_23h42.46.752,Graz,,2025.1.1,None,2026-09-07 23h42.50.388561 -0300,
