img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,attempt.stopped,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,End.started,End.stopped,BLOCK_END_code,BLOCK_END_tGlob,BLOCK_END_tLSL,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
../stims/both_feet.png,BOTH_MI_STIM,8,8,0,0,8,8,12,75.111058399998,,,,,,75.09923269999854,,,,2,75.11111399999936,40044.8578951,75.111058399998,,77.0988142999995,77.14072049999959,77.16245960000379,7,77.16248420000193,40046.9092611,78.33994550000352,78.33998589999828,78.36494949999906,5,78.36497400000371,40048.1117507,,82.09037510000053,82.09041570000409,82.11141949999728,6,82.11144120000245,40051.8582176,84.0970060000036,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/both_feet.png,BOTH_MI_STIM,9,9,0,0,9,9,11,84.10815520000324,,,,,,84.09713699999702,,,,2,84.10818509999808,40053.8549616,84.10815520000324,,86.0924737000023,86.1285857000039,86.14268640000228,7,86.14270979999856,40055.8894862,87.33997329999693,87.34001490000082,87.36290800000279,5,87.36293070000102,40057.1097072,,91.09959550000349,91.09963669999706,91.1128325000027,6,91.11285589999898,40060.8596321,93.09164469999814,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/left_foot.png,LEFT_MI_STIM,10,10,0,0,10,10,1,93.11272969999845,,,,,,93.09177440000349,,,,2,93.11276740000176,40062.8595443,93.11272969999845,,95.08998199999769,95.12861390000035,95.14842479999788,3,95.1484500000006,40064.8952264,96.34069440000167,96.34073630000057,96.36344860000099,5,96.36347319999913,40066.1102498,,100.08987720000005,100.08991650000098,100.11115489999793,6,100.11118459999852,40069.8579624,102.09324719999859,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/left_foot.png,LEFT_MI_STIM,11,11,0,0,11,11,0,102.10387739999715,,,,,,102.09337670000241,,,,2,102.10390699999698,40071.8506836,102.10387739999715,,104.09558120000293,104.13250359999802,104.14959980000276,3,104.1496266000031,40073.8964028,105.33263689999876,105.33268250000401,105.34516009999788,5,105.34518190000381,40075.0919582,,109.09759599999961,109.09764089999953,109.10984740000276,6,109.10987240000395,40078.8566495,111.10589430000255,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,12,12,0,0,12,12,6,111.12819660000241,,,,,,111.10602800000197,,,,2,111.12822880000022,40080.8750051,111.12819660000241,,113.08839150000131,113.12532680000004,113.14704009999696,4,113.1470649000039,40082.8938412,114.34353650000412,114.34357730000193,114.35800700000254,5,114.35803149999992,40084.104808,,118.09445409999898,118.09449300000415,118.10641339999711,6,118.10643659999914,40087.8532129,120.09408490000351,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/left_foot.png,LEFT_MI_STIM,13,13,0,0,13,13,2,120.10672630000045,,,,,,120.09421770000336,,,,2,120.10675549999723,40089.8535318,120.10672630000045,,122.09542220000003,122.1326504000026,122.1511004999993,3,122.15114380000159,40091.8979278,123.33909449999919,123.33913620000385,123.3605344000025,5,123.36055789999955,40093.1073344,,127.08705360000022,127.08709180000005,127.10974800000258,6,127.109770199997,40096.8565467,129.08591870000237,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/left_foot.png,LEFT_MI_STIM,14,14,0,0,14,14,3,129.10777950000193,,,,,,129.08605060000264,,,,2,129.1078078999999,40098.8545843,129.10777950000193,,131.08838439999818,131.12552860000142,131.143951500002,3,131.14397489999828,40100.8907511,132.3464759999988,132.34651660000236,132.35933079999813,5,132.35935350000364,40102.1061295,,136.0931266999978,136.09316460000264,136.10574449999694,6,136.10576659999788,40105.8525428,138.09044079999876,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,15,0,1,1,0,15,5,138.1022226999994,,,,,,138.09059150000394,,,,2,138.10225619999983,40107.8490331,138.1022226999994,,140.08674150000297,140.12427110000135,140.1612535000022,4,140.1612776999973,40109.9080543,141.34256040000037,141.34260150000046,141.35575740000058,5,141.35578189999796,40111.1025583,,145.08682340000087,145.0868640999979,145.1086656999978,6,145.10868879999907,40114.8554663,147.08579669999745,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/right_foot.png,RIGHT_MI_STIM,16,1,1,1,1,16,6,147.10729739999806,,,,,,147.08592859999771,,,,2,147.1073275000017,40116.854104,147.10729739999806,,149.09233659999882,149.12830109999777,149.1626469000039,4,149.16267150000203,40118.9094482,150.35031220000383,150.35038340000028,150.37422840000363,5,150.37425410000287,40120.1210312,,154.08548780000274,154.08552670000063,154.10774440000387,6,154.1078062000015,40123.8545843,156.10033239999757,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
../stims/left_foot.png,LEFT_MI_STIM,17,2,1,1,2,17,0,156.12843409999914,,,,,,156.10051050000038,,,,2,156.1284639000005,40125.8752402,156.12843409999914,,158.09126719999767,158.12705629999982,158.13544510000065,3,158.13546180000412,40127.8822378,159.33925579999777,159.33932780000032,159.36215239999729,5,159.36217570000008,40129.1089522,,163.08907629999885,163.08911700000317,163.10064380000404,6,163.10066599999845,40132.8474424,165.09254260000307,,,,,,TT000,1,2026-09-07_19h17.51.690,Graz,,2025.1.1,60.55354416898849,2026-09-07 19h17.54.055782 -0300,
