iso_time,lsl_time_s,code,label
2025-08-24T23:29:27.813,917360.675825,2,ATTENTION
2025-08-24T23:29:29.821,917362.683947,3,LEFT_MI_STIM
2025-08-24T23:29:31.037,917363.900396,5,ATTEMPT
2025-08-24T23:29:34.787,917367.650405,6,REST
2025-08-24T23:29:35.788,917368.651090,2,ATTENTION
2025-08-24T23:29:37.838,917370.701115,4,RIGHT_MI_STIM
2025-08-24T23:29:39.037,917371.899958,5,ATTEMPT
2025-08-24T23:29:42.787,917375.649836,6,REST
2025-08-24T23:29:43.785,917376.648481,2,ATTENTION
2025-08-24T23:29:45.819,917378.682411,4,RIGHT_MI_STIM
2025-08-24T23:29:47.036,917379.898937,5,ATTEMPT
2025-08-24T23:29:50.786,917383.648688,6,REST
2025-08-24T23:29:51.785,917384.648450,2,ATTENTION
2025-08-24T23:29:53.819,917386.682490,4,RIGHT_MI_STIM
2025-08-24T23:29:55.036,917387.899307,5,ATTEMPT
2025-08-24T23:29:58.785,917391.648423,6,REST
2025-08-24T23:29:59.785,917392.648525,2,ATTENTION
2025-08-24T23:30:01.836,917394.699302,3,LEFT_MI_STIM
2025-08-24T23:30:03.035,917395.898151,5,ATTEMPT
2025-08-24T23:30:06.786,917399.648646,6,REST
2025-08-24T23:30:07.785,917400.648196,2,ATTENTION
2025-08-24T23:30:09.837,917402.700030,4,RIGHT_MI_STIM
2025-08-24T23:30:11.035,917403.898476,5,ATTEMPT
2025-08-24T23:30:14.785,917407.648253,6,REST
2025-08-24T23:30:15.785,917408.647892,2,ATTENTION
2025-08-24T23:30:17.818,917410.681339,3,LEFT_MI_STIM
2025-08-24T23:30:19.035,917411.897941,5,ATTEMPT
2025-08-24T23:30:22.784,917415.647301,6,REST
2025-08-24T23:30:23.784,917416.646863,2,ATTENTION
2025-08-24T23:30:25.818,917418.681239,3,LEFT_MI_STIM
2025-08-24T23:30:27.037,917419.900330,5,ATTEMPT
2025-08-24T23:30:30.785,917423.647639,6,REST
2025-08-24T23:30:31.787,917424.650473,2,ATTENTION
2025-08-24T23:30:33.835,917426.697854,4,RIGHT_MI_STIM
2025-08-24T23:30:35.034,917427.897063,5,ATTEMPT
2025-08-24T23:30:38.784,917431.646946,6,REST
2025-08-24T23:30:39.784,917432.646619,2,ATTENTION
2025-08-24T23:30:41.833,917434.696186,3,LEFT_MI_STIM
2025-08-24T23:30:43.034,917435.896971,5,ATTEMPT
2025-08-24T23:30:46.782,917439.645364,6,REST
2025-08-24T23:30:47.783,917440.645621,2,ATTENTION
2025-08-24T23:30:49.817,917442.680449,4,RIGHT_MI_STIM
2025-08-24T23:30:51.034,917443.897350,5,ATTEMPT
2025-08-24T23:30:54.783,917447.645603,6,REST
2025-08-24T23:30:55.785,917448.647745,2,ATTENTION
2025-08-24T23:30:57.833,917450.695824,3,LEFT_MI_STIM
2025-08-24T23:30:59.034,917451.896663,5,ATTEMPT
2025-08-24T23:31:02.782,917455.644940,6,REST
2025-08-24T23:31:03.782,917456.644779,2,ATTENTION
2025-08-24T23:31:05.833,917458.695956,4,RIGHT_MI_STIM
2025-08-24T23:31:07.032,917459.895137,5,ATTEMPT
2025-08-24T23:31:10.782,917463.644874,6,REST
2025-08-24T23:31:11.781,917464.644488,2,ATTENTION
2025-08-24T23:31:13.815,917466.678432,4,RIGHT_MI_STIM
2025-08-24T23:31:15.049,917467.911864,5,ATTEMPT
2025-08-24T23:31:18.800,917471.662736,6,REST
2025-08-24T23:31:19.811,917472.673878,2,ATTENTION
